CM,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,,Max,Min
amz_rating_4_5_cnt,0.023925245,-0.340459143,-0.021394749,0.129150499,0.116766574,0.039993231,-0.049666232,0.063936055,-0.002865024,0.007974716,0.048768496,0.051170372,0.247564831,-0.067835129,-0.050015474,-0.403297575,0.063440017,0.374593556,-0.168773316,0.105512752,-0.112893349,0.224309823,0.078376096,-0.123029422,0.095914248,-0.10878709,-0.136238503,0.014660764,-0.460130558,0.267253184,-0.014353979,0.019755346,-0.106002878,0.051333914,0.005757641,-0.052184651,,0.374593556,-0.460130558
Amz_rating1,0.224330979,0.137348837,0.162048046,-0.065462937,0.009631624,0.031413271,-0.050192485,0.038190535,0.044651657,-0.078808487,0.05242383,0.043448341,0.01306534,-0.04279985,-0.232325076,-0.281853235,-0.039998864,-0.359754952,-0.193379895,0.252645309,0.225223632,0.159846944,-0.233857894,0.130895141,0.175984381,0.331762768,0.36317391,-0.12748911,-0.236639443,-0.107872006,-0.008381395,-0.076327268,-0.01229108,0.045331012,-0.035945388,-0.019647069,,0.36317391,-0.359754952
Amz_rating2,0.234170244,0.080788072,0.150894392,-0.000563108,0.005526373,0.072910132,-0.043673557,-0.105195229,0.131026355,-0.099521891,-0.021893425,0.0483926,-0.23456438,-0.015962332,-0.245090254,0.098045898,0.295890813,-0.039900714,-0.370119928,-0.094559723,-0.275044161,0.157459704,0.361160196,-0.37813051,0.15360745,0.200864269,-0.120022795,0.101821653,0.203701788,-0.024185237,0.02310425,0.030108253,0.005578871,0.034311256,0.012148921,-0.013066274,,0.361160196,-0.37813051
Amz_rating3,0.236397799,0.097129877,0.15782619,-0.064567476,-0.044293352,0.009458946,-0.035325675,-0.027810239,0.056912358,0.027585358,0.08160412,-0.122584658,-0.007913994,0.076227076,-0.236088265,-0.056468052,0.091122073,-0.483791721,0.239715056,0.117237312,0.104189826,-0.04612418,0.094253165,-0.03213784,-0.120846758,-0.481513177,-0.351309497,0.154802627,-0.199147511,0.180210514,0.000647265,0.089102508,0.009749279,0.016301333,0.011294232,-0.013255979,,0.239715056,-0.483791721
Amz_rating4,0.256457437,-0.000234129,0.111266988,0.036586946,-0.063455939,-0.027093584,-0.058004298,0.044438027,-0.043238436,-0.056288651,-0.050847588,-0.091802854,0.056907202,0.096544599,-0.103648712,-0.12204683,0.048033392,0.239439517,0.189425463,0.143108525,0.026493619,-0.192118036,-0.323020991,-0.199778234,-0.43637932,0.480414205,-0.326087648,0.089483737,0.041635337,-0.047959331,0.015739885,0.083492944,0.080458043,-0.034323905,0.061363951,0.007819723,,0.480414205,-0.43637932
Amz_rating5,0.263953884,-0.032166166,0.038774289,0.053135616,0.037436269,0.025336709,-0.026902552,-0.016733296,0.023452,-0.059753988,0.074257094,0.101330053,-0.09230498,-0.026985774,-0.087506566,-0.000659779,0.067314027,0.158755167,0.145599013,-0.107556076,-0.14927557,-0.131580173,0.036467039,0.162539222,0.037364137,-0.118878506,0.306105633,-0.19875644,-0.08397963,-0.03159726,0.043958476,0.586004607,0.326197862,-0.063302667,0.370715434,-0.072828176,,0.586004607,-0.19875644
Amz_Review_count,0.266330362,0.022726676,0.029666212,0.014339798,0.003548606,-0.004072928,-0.031911237,-0.001722236,-0.008934829,-0.078335963,0.022922559,0.061638575,-0.090024277,-0.049088718,-0.080389609,-0.010228353,0.029322334,0.202360993,0.226291996,-0.075828519,-0.156311659,-0.035013129,0.026220009,0.004044819,-0.013087094,-0.180314043,0.074885386,-0.104855417,-0.164613589,-0.439139696,0.268901795,-0.041641423,-0.167546878,-0.08999073,-0.612543993,0.137881913,,0.268901795,-0.612543993
Amz_Total_negative_sent_score,-0.13874626,-0.055299826,-0.158865049,0.022700913,-0.117336003,0.032355629,0.321802955,-0.141457945,0.046133926,-0.610572448,-0.289617599,0.397656613,0.069538311,0.141494161,0.106113213,-0.15361151,0.287049822,-0.159456103,0.114873388,0.084199559,-0.033219354,-0.071468656,-0.027486122,-0.019088973,-0.015311807,-0.02031051,-0.012835352,-0.002245539,-0.024938044,0.000397628,-0.002956937,0.000229927,-0.002265297,-0.002825571,0.00233361,-0.00056661,,0.397656613,-0.610572448
Amz_Total_Positive_sent_score,0.262314392,-0.055699296,0.017103696,0.040583914,0.013738263,-0.022953792,-0.054005745,0.006508389,-0.036011556,-0.113298549,-0.036105573,0.003435079,-0.114311378,-0.127333914,-0.074581528,0.006040054,0.041366225,0.135417155,0.13998249,-0.013250362,-0.110250693,0.041778147,-0.018887512,0.080170285,-0.079810821,-0.209494639,0.03368206,-0.080852255,0.016909496,-0.25761506,-0.277447671,-0.612317827,-0.061000651,0.11009927,0.436883881,-0.168641621,,0.436883881,-0.612317827
Amz_User_Generated_images,0.111771589,-0.020443246,0.070076995,0.19488208,-0.523063322,-0.204980198,-0.018502167,-0.195245831,-0.203877636,0.067129111,-0.083767936,0.185239744,0.528589945,-0.151090105,-0.264730251,0.266697225,-0.10113051,0.004160546,-0.04499646,-0.095153747,0.014341605,0.017869149,0.040860706,0.047682136,0.063947549,0.013257974,0.008311056,0.0230948,0.020260144,0.007464391,0.001808799,0.007749355,0.043793088,0.14923413,-0.043417939,-0.04486769,,0.528589945,-0.523063322
Avg_sentiment_score,0.070079461,-0.332073734,-0.02507983,0.077205273,0.007520916,-0.059094207,-0.034670228,0.024728243,-0.092574276,-0.148399988,-0.260425515,-0.197188694,-0.15353403,-0.172127575,-0.008937148,0.013782696,-0.15086648,-0.105685808,-0.169150747,0.047881556,0.128911219,-0.065894938,-0.071402856,0.042849961,-0.012362822,-0.073115077,-0.027877179,0.061274123,0.154672807,-0.086193064,0.419886682,0.205418924,-0.437419288,0.074291308,0.137833276,-0.337088806,,0.419886682,-0.437419288
Avg_wt_score,-0.132703085,-0.132669365,0.407945843,-0.111840638,-0.058909974,0.002981773,0.025946749,0.05064201,-0.014110133,-0.057594132,0.033134037,-0.000961126,-0.005413264,-0.067384363,0.067983563,-0.106151356,0.036998241,-0.123081623,-0.064408765,-0.375911807,-0.174876158,-0.006335293,0.027978814,0.261944795,-0.203089652,0.102620511,-0.058158171,-0.047126784,-0.110899017,0.034817925,0.277414566,-0.089509364,-0.080652239,0.218897333,0.200524855,0.491508361,,0.491508361,-0.375911807
kohls_Number_of_images,0.00464048,-0.071699275,0.118325475,-0.055753808,0.286468923,-0.594366179,-0.080189708,0.006059371,-0.135891196,0.382092275,-0.346093509,0.421946164,-0.14955955,0.172448856,-0.022369553,-0.062808721,0.10628325,-0.062454923,0.016997024,0.03133402,0.004575724,-0.009992394,-0.005152616,-0.015878284,-0.005603315,-0.007419151,-0.002817015,-0.007834235,-0.006427813,-0.002968759,-0.003229292,-0.002015779,0.001118467,0.002112225,-0.000539907,-0.000259239,,0.421946164,-0.594366179
Neg_avg_wt_score,0.062259155,-0.178486439,-0.037991783,-0.546736864,-0.198934704,0.027699467,-0.093128162,-0.04637404,0.000836932,0.029101706,0.060860888,0.076033696,0.003718685,0.018512559,0.016216567,-0.10346086,0.020832606,-0.01805639,-0.130050391,-0.33260636,-0.112556277,-0.00356303,-0.547192402,-0.22673494,0.159706902,-0.198062071,-0.004568252,0.060584727,0.08396777,0.01233777,-0.086211632,0.026934219,0.043612835,-0.053310245,-0.046664399,-0.092526199,,0.159706902,-0.547192402
Neg_tot_wt_score,0.055707254,-0.175931618,-0.020169929,-0.553192758,-0.204376954,0.038183659,-0.103498598,-0.053046189,0.006307899,0.022298416,0.056165048,0.105795677,-0.010824417,0.001512484,0.051568367,-0.015435922,0.006325856,0.147634266,-0.106476668,0.276857119,0.180666187,-0.262887742,0.434393928,0.19348682,-0.098320045,0.075762048,-0.013556927,0.020616186,-0.026929697,-0.1297321,-0.247075522,0.112518896,-0.181215966,0.062232139,-0.011549439,0.055033777,,0.434393928,-0.553192758
pos_avg_wt_score,-0.154609613,-0.074866893,0.417642386,0.06536029,0.002293894,-0.00046733,0.054209748,0.056436868,-0.003692662,-0.059514094,0.037478162,-0.017032403,0.003930779,-0.035847911,0.038957974,-0.087738656,0.034726613,-0.090223525,-0.059021225,-0.264991552,-0.106086099,-0.053910658,0.105755166,0.243834089,-0.183865944,0.10381346,-0.045882916,-0.029669692,-0.044962831,0.003755365,-0.268727185,0.005183638,0.048630139,-0.277753921,-0.264140186,-0.575255729,,0.417642386,-0.575255729
Pos_tot_wt_score,-0.155241488,-0.04630545,0.412622096,0.128974391,0.034823799,0.010683016,0.045187292,0.046318481,-0.004727657,-0.090692959,0.039456488,0.043388927,-0.049859082,-0.084003521,0.037921653,0.137282718,-0.058766594,0.03991517,0.221541278,0.122712547,0.014492167,0.187727133,-0.169262713,-0.208921131,0.138724664,-0.061139265,0.028523783,0.006853349,0.081795558,-0.126600597,-0.463522309,0.325140894,-0.372119325,0.154523296,0.010414626,0.182514836,,0.412622096,-0.463522309
rating1_cnt,0.021719542,0.33040952,0.02203868,-0.063976007,0.015939007,-0.068021017,0.08123608,0.125360414,-0.107645952,-0.132628038,0.022618194,0.20809979,0.022113582,-0.205197661,-0.083205062,-0.507535332,-0.503275022,0.070667944,-0.027903439,-0.031902264,-0.031113725,0.054270336,0.162064582,-0.06559589,-0.075909833,-0.14390466,-0.084726633,0.003560639,0.377294953,0.024977724,0.007367649,0.055124447,0.045150081,-0.025163175,0.007533579,0.038241194,,0.377294953,-0.507535332
rating5_cnt,0.01872292,-0.25359331,-0.150310252,0.140400287,0.213538744,0.095295919,0.021738967,-0.089377874,0.098528916,0.010903251,0.466618411,0.50836932,-0.123278366,-0.199138268,-0.08478478,0.188398789,-0.258978549,-0.194401809,0.011282467,-0.075594002,0.028391589,-0.239350877,-0.046508966,-0.119658752,-0.091063658,0.140959352,-0.097827864,0.039173062,-0.102634138,0.036900338,0.016060613,-0.063822102,-0.062538572,0.024843668,0.003347189,-0.032331283,,0.50836932,-0.258978549
reviews_1_M,0.244910254,0.014787734,0.098165173,0.067194996,-0.002336558,-0.040518018,-0.074340196,-0.024056074,-0.081472244,-0.041235807,0.082345378,-0.004060637,0.13233928,0.236532805,0.445844237,0.069805516,-0.238014954,-0.174877472,-0.182449074,0.344866838,-0.551836737,-0.135257968,-0.074045346,0.101104555,0.150629114,-0.015412522,-0.13675664,-0.073686674,0.01918706,-0.011645187,-0.001553279,-0.007314489,-0.005947719,-0.003586531,-0.002324704,-0.000436681,,0.445844237,-0.551836737
reviews_2_M,0.255130343,0.01859219,0.080261989,0.058450049,0.021251302,-0.00883461,-0.038608579,-0.044554094,-0.055431426,-0.062237974,0.051406146,0.053681101,0.102086675,0.144881569,0.396970795,0.045178194,-0.047193365,-0.02709192,-0.143187398,-0.124347372,0.195316077,0.171323899,0.101130312,-0.269800932,-0.436264144,-0.125803122,0.440372867,0.349316898,-0.071977828,0.014923579,-0.002315404,0.003277669,-0.004882481,0.013232493,-0.003471852,-0.003027342,,0.440372867,-0.436264144
reviews_3_M,0.259638729,0.013628606,0.063018213,0.045822109,0.042668052,0.014140976,-0.028813818,-0.041865073,-0.028942281,-0.066281878,0.028641589,0.055152647,0.063112836,0.093427634,0.317799416,0.035693812,0.024508492,0.013087633,-0.08012792,-0.238228616,0.480234209,0.104445184,0.063811471,-0.083683666,0.128519856,0.001039615,-0.346121697,-0.585105616,0.036609238,-0.017394565,-0.003107846,0.012706521,0.008791378,-0.019102488,0.011753067,0.006054501,,0.480234209,-0.585105616
reviews_6_M,0.262303041,0.011950069,0.045385237,0.023643265,0.095405566,0.043658057,-0.017169066,-0.028476604,-0.010601756,-0.066913321,0.03069913,0.08981951,-0.026207269,0.067101374,0.148272238,-0.045540099,-0.004527724,0.131669945,0.226442718,-0.186514588,0.169588454,0.084758724,0.008332317,0.373951271,0.447296248,0.167838893,-0.152399087,0.578211426,0.073240184,0.042410927,0.01886715,-0.010776615,0.002847131,0.02380811,-0.003073387,-0.01349109,,0.578211426,-0.186514588
Target_pdt_desc_length,-0.005746345,0.030801118,-0.004483102,-0.284197184,0.525487071,-0.048924411,0.044224584,0.164666568,-0.460580112,-0.327523944,0.100091873,-0.108139624,0.348856912,0.08518563,-0.242881547,0.269528599,0.035912092,-0.001244828,-0.038452102,-0.050115826,-0.015005493,-0.032436745,0.036197673,-0.014559655,0.017565395,0.010223593,0.016225699,-0.001113347,0.009280068,0.003594038,0.002749903,0.002434827,-0.005153884,-0.004169671,0.00048299,0.000599873,,0.525487071,-0.460580112
Tot_wt_score,-0.100358645,-0.160182434,0.369567577,-0.253038857,-0.095399324,0.027426567,-0.028105719,0.021659208,-0.022059028,-0.091332218,0.035185324,0.112880865,-0.086203248,-0.160350281,0.107983051,0.197073799,-0.082911109,0.103984222,0.29871071,0.3326609,0.050806034,0.23721794,0.072100671,-0.167197403,0.089494023,0.021347116,0.059741618,-0.054690957,0.04137117,0.19452964,0.365789493,-0.179492934,0.289271331,-0.114808509,0.008209247,-0.137800222,,0.369567577,-0.253038857
Total_sentiment_score,0.258176769,-0.073263912,0.064121758,0.083538608,0.001591825,0.003567838,-0.041123137,-0.018748693,0.0086876,-0.083669031,-0.027495913,-0.024853692,-0.10900592,0.02391259,-0.109114548,0.014792327,0.083290175,0.109708155,0.035481375,0.007804535,0.003702425,-0.239896827,-0.066295639,0.115024381,-0.021176732,-0.040127942,0.265369766,-0.168123425,0.290422651,0.676779798,-0.102356916,-0.140485898,-0.217718096,-0.027173071,-0.216275238,0.134418013,,0.676779798,-0.239896827
