kohl_product_id,kohl_product_name,kohl_Product_description,kohl_Regular_price,kohl_Shipping,kohl_markdown_price,kohl_final_price,kohl_additional_info,kohl_price_promo,kohl_Availability,Extraction_Date,TCIN,kohl_disc_perc,week_nmb,amazon_product_id,amazon_product_name,amazon_Product_description,amazon_Regular_price,amazon_Shipping,amazon_markdown_price,amazon_final_price,amazon_additional_info,amazon_price_promo,amazon_Availability,amazon_disc_perc,target_product_id,target_product_name,target_Product_description,target_Regular_price,target_Shipping,target_markdown_price,target_final_price,target_additional_info,target_price_promo,target_Availability,target_disc_perc,kohl_availability_flag,amazon_Availability_flag,target_Availability_flag,kohl_pdt_desc_length,Amz_pdt_desc_length,target_pdt_desc_length,price_diff_amazon_final_pr,Price_diff_target_final_pr,Price_diff_amazon_reg_pr,Price_diff_target_reg_pr,Price_rat_amazon_final_pr,Price_rat_target_final_pr,Price_rat_amazon_reg_pr,Price_rat_target_reg_pr,Availability_flag
1130488,Wildkin Leopard Serious Backpack - Kids,"This exotic Wildkin backpack seriously does it all. She can stow a 15-in. laptop in the padded compartment, strap her lunch bag to the front with the carabiner and listen to her MP3 player using the media pocket and headphones port. Complete with an exciting leopard print, this girls' backpack is a fun school essential. In pink/black.",67.99,0,0,67.99,n/a,n/a,Yes,12-03-2012,14107212,0,1,B007WU58DK,Wildkin Pink Leopard Serious Backpack,n/a,41.99,0,41.99,41.99,& this item ships for FREE with Super Saver Shipping.,You Save: $18.00 (30%),Yes,0,14107212,Wildkin Leopard Serious Backpack - Pink,Wildkin Leopard Serious Backpack - Pink,45.49,0,0,45.49,n/a,n/a,Yes,0,1,1,1,336,3,39,26,22.5,26,22.5,1.619195046,1.494614201,1.619195046,1.494614201,1
1130487,Wildkin Camo Serious Backpack - Kids,"This cool Wildkin backpack seriously does it all. He can stow a 15-in. laptop in the padded compartment, strap his lunch bag to the front with the carabiner and listen to his MP3 player using the media pocket and headphones port. Complete with a colorful camo print, this backpack is a fun school essential. In blue/white/black.",67.99,0,0,67.99,n/a,n/a,Yes,12-03-2012,14107219,0,1,B007WU48MC,Wildkin Blue Camo Serious Backpack,n/a,45.41,0,45.41,45.41,& this item ships for FREE with Super Saver Shipping.,You Save: $14.58 (24%),Yes,0,14107219,Wildkin Camo Serious Backpack - Blue,Wildkin Camo Serious Backpack - Blue,45.49,0,0,45.49,n/a,n/a,Yes,0,1,1,1,328,3,36,22.58,22.5,22.58,22.5,1.497247302,1.494614201,1.497247302,1.494614201,1
1130538,Wildkin Big Dots Crackerjack Backpack - Kids,"A brilliant backpack by Wildkin. From the roomy main compartment to the organizer front pocket with pouches and a pencil holder, this kids' backpack is a school essential. Plus, the dot print is bold and eye-catching.",36.99,0,0,36.99,n/a,n/a,Yes,12-03-2012,14107227,0,1,B007WU44HG,Wildkin Big Dots Aqua Crackerjack Backpack,n/a,26.74,0,26.74,26.74,& this item ships for FREE with Super Saver Shipping.,You Save: $5.25 (16%),Yes,0,14107227,Wildkin Big Dots Aqua Crackerjack Backpack - Blue/ Purple,Wildkin Big Dots Aqua Crackerjack Backpack - Blue/ Purple,27.59,0,0,27.59,n/a,n/a,Yes,0,1,1,1,217,3,57,10.25,9.4,10.25,9.4,1.383320868,1.340703153,1.383320868,1.340703153,1
1130257,Wildkin Olive Kids Mermaid Pack 'n Snack Backpack - Kids,Take snacks on the go. This girls' Wildkin backpack doubles as a lunch bag with an insulated food-safe compartment. Enhance her everyday routine with this adorable mermaid backpack. In blue/multi.,29.99,0,0,29.99,n/a,n/a,Yes,12-03-2012,14107265,0,1,B0067QYI5E,Wildkin Olive Kids Mermaids Pack 'n Snack,n/a,23.59,6.17,23.59,23.59,& eligible for FREE Super Saver Shipping on orders over $25.,You Save: $2.40 (9%),Yes,0,14107265,Wildkin Olive Kids Mermaids Pack n Snack Blackpack - Blue,Wildkin Olive Kids Mermaids Pack n Snack Blackpack - Blue,23.79,0,0,23.79,n/a,n/a,Yes,0,1,1,1,196,3,57,6.4,6.2,6.4,6.2,1.271301399,1.260613703,1.271301399,1.260613703,1
1130258,Wildkin Olive Kids Paisley Pack 'n Snack Backpack - Kids,Take snacks on the go. This girls' Wildkin backpack doubles as a lunch bag with an insulated food-safe compartment. Enhance her everyday routine with this pretty paisley backpack. In pink/multi.,29.99,0,0,29.99,n/a,n/a,Yes,12-03-2012,14107294,0,1,B007W4MMNU,Wildkin Olive Kids Paisley Pack 'n Snack,n/a,25.99,0,0,25.99,& this item ships for FREE with Super Saver Shipping.,n/a,Yes,0,14107294,Wildkin Olive Kids Pack N Snack Backpack - Pink,Wildkin Olive Kids Pack N Snack Backpack - Pink,25.99,0,0,25.99,n/a,n/a,Yes,0,1,1,1,194,3,47,4,4,4,4,1.153905348,1.153905348,1.153905348,1.153905348,1
1130297,Wildkin Ball 'n' All Sports Backpack - Kids,"Win first place with this Wildkin sports backpack. Featuring four exterior pockets, a mesh ball carrier and durable 600-denier construction, this dotted backpack is perfect for keeping your little athlete's gear organized. In blue.",44.99,0,0,44.99,n/a,n/a,Yes,12-03-2012,14107317,0,1,B0065QXV7W,Wildkin Soccer Bags,n/a,27.56,0,27.56,27.56,& this item ships for FREE with Super Saver Shipping.,You Save: $12.43 (31%),Yes,0,14107317,Wildkin Sports Backpack - Blue,Wildkin Sports Backpack - Blue,27.59,0,0,27.59,n/a,n/a,Yes,0,1,1,1,231,3,30,17.43,17.4,17.43,17.4,1.632438316,1.630663284,1.632438316,1.630663284,1
1130483,Wildkin Horse Serious Backpack - Kids,"This cute Wildkin backpack seriously does it all. She can stow a 15-in. laptop in the padded compartment, strap her lunch bag to the front with the carabiner and listen to her MP3 player using the media pocket and headphones port. Complete with a whimsical horse print, this girls' backpack is a fun school essential. In pink/multi.",67.99,0,0,67.99,n/a,n/a,Yes,12-03-2012,14107330,0,1,B007WU4S40,Wildkin Horses in Pink Serious Backpack,n/a,45.41,0,45.41,45.41,& this item ships for FREE with Super Saver Shipping.,You Save: $14.58 (24%),Yes,0,14107330,Wildkin Horses Serious Backpack - Pink,Wildkin Horses Serious Backpack - Pink,45.49,0,0,45.49,n/a,n/a,Yes,0,1,1,1,332,3,38,22.58,22.5,22.58,22.5,1.497247302,1.494614201,1.497247302,1.494614201,1
1130531,Wildkin Horse Crackerjack Backpack - Kids,"She'll feel wild and free with this Wildkin backpack. From the roomy main compartment to the organizer front pocket with pouches and a pencil holder, this girls' backpack is a school essential. Plus, the horse print adds whimsical style. In pink/multi.",36.99,0,0,36.99,n/a,n/a,Yes,12-03-2012,14107536,0,1,,,,,,,,,,,,14107536,Wildkin Horses Crackerjack Backpack - Pink,Wildkin Horses Crackerjack Backpack - Pink,27.39,0,0,27.39,n/a,n/a,Yes,0,1,0,1,252,1,42,,9.6,,9.6,,1.350492881,,1.350492881,1
1056014,Leatherbay Laptop Backpack,Pack and go. This laptop backpack was designed with your busy lifestyle in mind. Shop Kohls.com for other Leatherbay laptop backpacks to find your favorite color.,299.95,0,269.95,269.95,n/a,n/a,Yes,12-10-2012,11457891,0.100016669,2,B001J9Q3QQ,Leatherbay Laptop Leather Backpack,n/a,203.6,0,203.6,203.6,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $126.35 (38%),Yes,0,11457891,Leatherbay Leather Laptop Backpack - Black,Leatherbay Leather Laptop Backpack - Black,329.95,0,0,329.95,n/a,n/a,Yes,0,1,1,1,162,3,42,66.35,-60,96.35,-30,1.325884086,0.818154266,1.473231827,0.909077133,1
1054902,Leatherbay Pockets Backpack,Pack and go. This backpack was designed with your busy lifestyle in mind. Shop Kohls.com for other Leatherbay pockets backpack to find your favorite color.,269.95,0,242.95,242.95,n/a,n/a,Yes,12-10-2012,11457892,0.100018522,2,B001I3P75G,Leatherbay Leather Backpack with Pockets,n/a,186.53,0,186.53,186.53,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $108.42 (37%),Yes,0,11457892,Leatherbay Leather Backpack With Pockets - Black,Leatherbay Leather Backpack With Pockets - Black,294.95,0,0,294.95,n/a,n/a,Yes,0,1,1,1,155,3,48,56.42,-52,83.42,-25,1.302471452,0.823698932,1.447220286,0.915239871,1
1056017,Leatherbay Mini Backpack,On-the-go organization. This mini backpack was designed with your busy lifestyle in mind. Shop Kohls.com for other Leatherbay mini backpacks to find your favorite color.,129.95,0,116.95,116.95,n/a,n/a,Yes,12-10-2012,11457894,0.100038476,2,B001I3N9GA,Leatherbay Leather Mini Backpack,n/a,96.88,0,96.88,96.88,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $48.07 (33%),Yes,0,11457894,Leatherbay Leather Mini Backpack - English Tan,Leatherbay Leather Mini Backpack - English Tan,144.95,0,0,144.95,n/a,n/a,Yes,0,1,1,1,169,3,46,20.07,-28,33.07,-15,1.207163501,0.806829941,1.341350124,0.89651604,1
