week_nmb,Unique_Pdt_Identifier_Mainpdt,Amz_rating1,Amz_rating2,Amz_rating3,Amz_rating4,Amz_rating5,Amz_Review_count,Amz_Avg_rating
-227,B00024ENVG,0,0,0,0,2,2,5
-225,B00024ENVG,0,0,0,0,1,1,5
-224,B00024ENVG,0,0,0,1,0,1,4
-222,B00024ENVG,0,0,0,3,2,5,4.4
-220,B00024ENVG,0,0,0,0,1,1,5
-218,B00024ENVG,0,0,0,0,1,1,5
-216,B00024ENVG,0,0,0,1,1,2,4.5
-213,B00024ENVG,0,0,1,0,0,1,3
-212,B00024ENVG,0,0,1,1,1,3,4
-209,B00024ENVG,0,0,0,0,2,2,5
-208,B00024ENVG,0,0,0,0,1,1,5
-206,B00024ENVG,0,0,0,0,3,3,5
-205,B00024ENVG,0,1,0,0,0,1,2
-203,B00024ENVG,0,0,0,0,1,1,5
-202,B00024ENVG,0,0,0,0,1,1,5
-201,B00024ENVG,0,0,0,0,1,1,5
-199,B00024ENVG,0,0,0,0,1,1,5
-197,B00024ENVG,0,0,0,1,3,4,4.75
-196,B00024ENVG,0,0,0,1,2,3,4.666666667
-195,B00024ENVG,0,0,1,0,5,6,4.666666667
-194,B00024ENVG,0,0,0,1,1,2,4.5
-193,B00024ENVG,0,0,0,0,2,2,5
-192,B00024ENVG,0,0,0,1,5,6,4.833333333
-191,B00024ENVG,0,0,0,0,2,2,5
-189,B00024ENVG,0,0,0,1,1,2,4.5
-188,B00024ENVG,0,0,0,1,1,2,4.5
-187,B00024ENVG,0,0,0,0,2,2,5
-185,B00024ENVG,0,0,0,1,1,2,4.5
-183,B00024ENVG,0,0,0,0,1,1,5
-182,B00024ENVG,0,0,0,1,0,1,4
-181,B00024ENVG,0,0,0,1,1,2,4.5
-177,B00024ENVG,0,0,0,0,1,1,5
-176,B00024ENVG,0,0,0,2,1,3,4.333333333
-175,B00024ENVG,0,0,0,0,1,1,5
-173,B00024ENVG,0,0,0,0,1,1,5
-170,B00024ENVG,0,0,0,0,2,2,5
-169,B00024ENVG,0,0,0,0,1,1,5
-168,B00024ENVG,0,0,0,0,1,1,5
-167,B00024ENVG,0,0,0,0,1,1,5
-166,B00024ENVG,0,0,0,0,1,1,5
-165,B00024ENVG,0,0,0,0,2,2,5
-164,B00024ENVG,0,0,0,0,2,2,5
-162,B00024ENVG,0,0,0,0,1,1,5
-160,B00024ENVG,0,0,0,0,3,3,5
-158,B00024ENVG,0,0,0,0,1,1,5
-157,B00024ENVG,0,0,0,1,0,1,4
-153,B00024ENVG,0,0,0,0,1,1,5
-152,B00024ENVG,0,0,0,0,1,1,5
-151,B00024ENVG,0,0,0,0,1,1,5
-149,B00024ENVG,0,0,0,0,1,1,5
-148,B00024ENVG,0,0,0,1,1,2,4.5
-147,B00024ENVG,0,0,0,0,3,3,5
-146,B00024ENVG,0,0,0,0,4,4,5
-144,B00024ENVG,0,0,0,2,0,2,4
-142,B00024ENVG,0,0,0,0,2,2,5
-141,B00024ENVG,0,0,0,0,1,1,5
-139,B00024ENVG,0,0,0,0,2,2,5
-137,B00024ENVG,0,0,0,1,0,1,4
-136,B00024ENVG,0,0,0,0,1,1,5
-134,B00024ENVG,0,0,0,0,1,1,5
-132,B00024ENVG,0,0,0,0,2,2,5
-128,B00024ENVG,0,0,0,1,0,1,4
-127,B00024ENVG,0,0,0,0,1,1,5
-126,B00024ENVG,0,0,0,0,1,1,5
-125,B00024ENVG,0,0,0,1,2,3,4.666666667
-122,B00024ENVG,0,0,0,1,0,1,4
-121,B00024ENVG,1,0,0,0,2,3,3.666666667
-116,B00024ENVG,0,0,0,0,1,1,5
-114,B00024ENVG,0,0,1,0,0,1,3
-101,B00024ENVG,0,0,0,0,2,2,5
-98,B00024ENVG,0,0,0,0,2,2,5
-97,B00024ENVG,0,0,0,0,1,1,5
-96,B00024ENVG,0,0,0,1,0,1,4
-92,B00024ENVG,0,0,0,0,1,1,5
-90,B00024ENVG,0,0,0,0,2,2,5
-89,B00024ENVG,0,0,0,0,1,1,5
-87,B00024ENVG,0,0,0,1,0,1,4
-86,B00024ENVG,0,0,0,0,1,1,5
-85,B00024ENVG,0,0,0,0,1,1,5
-84,B00024ENVG,0,0,0,0,1,1,5
-80,B00024ENVG,1,0,0,0,1,2,3
-79,B00024ENVG,0,0,0,0,1,1,5
-78,B00024ENVG,0,0,0,0,1,1,5
-76,B00024ENVG,0,0,0,0,1,1,5
-73,B00024ENVG,0,0,0,0,1,1,5
-72,B00024ENVG,0,0,0,0,1,1,5
-69,B00024ENVG,0,0,0,0,1,1,5
-65,B00024ENVG,1,0,0,0,1,2,3
-59,B00024ENVG,0,0,0,0,1,1,5
-58,B00024ENVG,0,0,0,2,0,2,4
-56,B00024ENVG,0,0,0,1,0,1,4
-54,B00024ENVG,0,0,0,0,1,1,5
-52,B00024ENVG,0,1,0,1,1,3,3.666666667
-50,B00024ENVG,0,0,0,0,1,1,5
-49,B00024ENVG,0,0,0,0,1,1,5
-48,B00024ENVG,0,0,0,0,1,1,5
-47,B00024ENVG,0,0,0,0,2,2,5
-45,B00024ENVG,0,0,0,0,1,1,5
-44,B00024ENVG,0,0,0,0,1,1,5
-40,B00024ENVG,0,0,0,1,0,1,4
-39,B00024ENVG,0,0,0,1,0,1,4
-38,B00024ENVG,0,0,0,0,1,1,5
-37,B00024ENVG,0,0,0,0,1,1,5
-36,B00024ENVG,0,0,0,0,2,2,5
-34,B00024ENVG,0,0,0,0,1,1,5
-31,B00024ENVG,0,0,0,0,1,1,5
-30,B00024ENVG,0,0,0,0,1,1,5
-28,B00024ENVG,0,0,0,1,0,1,4
-27,B00024ENVG,0,0,0,1,0,1,4
-25,B00024ENVG,0,0,0,1,1,2,4.5
-24,B00024ENVG,0,0,0,0,1,1,5
-23,B00024ENVG,0,0,0,1,0,1,4
-19,B00024ENVG,0,0,0,0,1,1,5
-16,B00024ENVG,1,0,0,0,1,2,3
-15,B00024ENVG,0,0,0,1,2,3,4.666666667
-13,B00024ENVG,0,1,0,0,0,1,2
-11,B00024ENVG,0,0,0,1,0,1,4
-9,B00024ENVG,0,0,0,1,0,1,4
-8,B00024ENVG,0,0,0,0,1,1,5
-5,B00024ENVG,0,0,0,0,1,1,5
-4,B00024ENVG,0,0,0,1,0,1,4
0,B00024ENVG,0,0,0,0,1,1,5
1,B00024ENVG,0,0,0,0,2,2,5
2,B00024ENVG,0,1,0,1,2,4,4
3,B00024ENVG,0,0,0,2,0,2,4
4,B00024ENVG,0,0,1,0,1,2,4
5,B00024ENVG,0,0,0,0,3,3,5
6,B00024ENVG,0,0,0,1,2,3,4.666666667
7,B00024ENVG,0,0,0,0,1,1,5
9,B00024ENVG,0,0,0,0,1,1,5
10,B00024ENVG,0,0,0,0,3,3,5
11,B00024ENVG,0,0,0,0,2,2,5
12,B00024ENVG,1,0,0,0,3,4,4
13,B00024ENVG,0,1,0,0,4,5,4.4
14,B00024ENVG,0,0,0,1,2,3,4.666666667
15,B00024ENVG,0,0,0,1,0,1,4
16,B00024ENVG,1,0,0,0,2,3,3.666666667
18,B00024ENVG,0,0,0,1,0,1,4
19,B00024ENVG,0,0,1,0,2,3,4.333333333
20,B00024ENVG,0,0,0,0,3,3,5
21,B00024ENVG,0,0,0,1,1,2,4.5
23,B00024ENVG,0,0,1,0,0,1,3
25,B00024ENVG,0,0,0,0,1,1,5
26,B00024ENVG,0,1,0,0,1,2,3.5
27,B00024ENVG,0,0,0,0,1,1,5
28,B00024ENVG,0,0,0,1,0,1,4
30,B00024ENVG,0,0,0,0,1,1,5
36,B00024ENVG,0,0,0,0,1,1,5
37,B00024ENVG,0,0,0,2,1,3,4.333333333
38,B00024ENVG,0,0,0,0,1,1,5
39,B00024ENVG,0,0,0,2,1,3,4.333333333
40,B00024ENVG,0,0,0,0,1,1,5
41,B00024ENVG,0,1,0,0,1,2,3.5
42,B00024ENVG,0,0,0,0,2,2,5
46,B00024ENVG,0,0,0,0,1,1,5
47,B00024ENVG,1,0,1,0,1,3,3
49,B00024ENVG,0,0,0,1,3,4,4.75
50,B00024ENVG,0,0,1,0,0,1,3
51,B00024ENVG,0,0,1,0,0,1,3
52,B00024ENVG,0,0,0,0,2,2,5
-231,B00061NL9K,0,0,0,1,0,1,4
-122,B00061NL9K,0,0,0,1,0,1,4
-90,B00061NL9K,0,0,0,1,0,1,4
-70,B00061NL9K,0,0,0,1,0,1,4
-44,B00061NL9K,0,0,0,1,0,1,4
-21,B00061NL9K,0,0,0,0,1,1,5
-9,B00061NL9K,0,0,0,0,1,1,5
-8,B00061NL9K,0,0,0,1,0,1,4
-3,B00061NL9K,0,0,0,0,1,1,5
1,B00061NL9K,0,0,0,0,1,1,5
3,B00061NL9K,1,0,0,0,1,2,3
11,B00061NL9K,0,0,0,1,1,2,4.5
15,B00061NL9K,0,0,0,1,0,1,4
16,B00061NL9K,0,0,0,0,1,1,5
23,B00061NL9K,0,0,0,1,1,2,4.5
