"","week_nmb","kohl_product_id","net_Sales","amazon_Shipping","kohl_final_price","kohl_Shipping","Target_Shipping","TCIN_var","kohl_pdt_desc_length","Availability","Price_diff_amazon_final_pr","Price_diff_target_final_pr","Price_rat_amazon_final_pr","Price_rat_amazon_reg_pr","Price_rat_target_reg_pr","Recency_week","Amz_No_of_images","Amz_Not_User_Gen_images","Amz_pdt_desc_length","Amz_rating5","Amz_Review_count","Amz_Total_negative_sent_score","Amz_Total_Positive_sent_score","Amz_User_Generated_images","kohls_Number_of_images","Neg_tot_wt_score","pos_avg_wt_score","reviews_1_M","reviews_3_M","reviews_6_M","Target_pdt_desc_length","Total_sentiment_score"
"29",7,"1309403",2,0,79.99,0,0,2,183,1,47.6,40,2.4695893794381,2.4695893794381,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,510,NA
"30",7,"1305855",5,0,79.99,0,0,1,183,1,47.6,40,2.4695893794381,2.4695893794381,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,6,NA,NA,NA,NA,NA,501,NA
"31",8,"1194325",0,0,189.99,0,0,1,141,1,74.9,45.99,1.65079502997654,1.65079502997654,1.319375,59,26,26,3,NA,NA,NA,NA,0,18,NA,NA,NA,NA,NA,234,NA
"32",8,"1309422",0,0,79.99,0,0,2,183,1,46.37,40,2.37923854848305,2.37923854848305,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,503,NA
"33",8,"565916",0,0,123.45,0,0,1,169,1,30.27,-21.5,1.32485511912428,1.3946125778064,0.896516040013798,59,6,6,3,2,5,0,15,0,NA,0,0,2,3,3,40,15
"34",8,"1305855",1,0,79.99,0,0,1,183,1,47.6,40,2.4695893794381,2.4695893794381,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,6,NA,NA,NA,NA,NA,501,NA
"35",8,"1305860",1,0,79.99,0,0,1,199,1,47.6,40,2.4695893794381,2.4695893794381,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,508,NA
"36",8,"1305865",1,0,79.99,0,0,1,192,1,46.97,40,2.42247122955784,2.42247122955784,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,503,NA
"37",8,"1309395",2,0,79.99,0,0,1,183,1,46.97,40,2.42247122955784,2.42247122955784,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,505,NA
"38",8,"1309403",2,0,79.99,0,0,2,183,1,47.6,40,2.4695893794381,2.4695893794381,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,510,NA
"39",8,"1309398",3,0,79.99,0,0,1,194,1,47.6,40,2.4695893794381,2.4695893794381,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,510,NA
"40",8,"1309407",3,0,79.99,0,0,2,183,1,46.79,40,2.40933734939759,2.40933734939759,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,508,NA
"41",9,"1194325",0,0,189.99,0,0,1,141,1,74.9,45.99,1.65079502997654,1.65079502997654,1.319375,59,26,26,3,NA,NA,NA,NA,0,18,NA,NA,NA,NA,NA,234,NA
"42",9,"1305855",0,0,79.99,0,0,1,183,1,44,40,2.22256182272854,2.22256182272854,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,6,NA,NA,NA,NA,NA,501,NA
"43",9,"1305865",0,0,79.99,0,0,1,192,1,43.3,40,2.18015808122104,2.18015808122104,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,503,NA
"44",9,"1309398",0,0,79.99,0,0,1,194,1,44.9,40,2.27956682815617,2.27956682815617,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,510,NA
"45",9,"1309407",0,0,79.99,0,0,2,183,1,44,40,2.22256182272854,2.22256182272854,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,508,NA
"46",9,"1309422",0,0,79.99,0,0,2,183,1,43.3,40,2.18015808122104,2.18015808122104,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,503,NA
"47",9,"565916",0,0,129.95,0,0,1,169,1,36.77,-15,1.3946125778064,1.3946125778064,0.896516040013798,59,6,6,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,3,NA
"48",9,"1305860",1,0,79.99,0,0,1,199,1,44,40,2.22256182272854,2.22256182272854,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,508,NA
"49",9,"1309395",1,0,79.99,0,0,1,183,1,43.3,40,2.18015808122104,2.18015808122104,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,505,NA
"50",9,"1309403",1,0,79.99,0,0,2,183,1,44,40,2.22256182272854,2.22256182272854,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,510,NA
"51",10,"1194325",0,0,189.99,0,0,1,141,1,74.9,45.99,1.65079502997654,1.65079502997654,1.319375,59,26,26,3,NA,NA,NA,NA,0,18,NA,NA,NA,NA,NA,234,NA
"52",10,"1305865",0,0,59.99,0,0,1,192,1,25.6,25,1.74440244257051,2.32596685082873,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,503,NA
"53",10,"1309395",0,0,59.99,0,0,1,183,1,25.6,25,1.74440244257051,2.32596685082873,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,505,NA
"54",10,"1309422",0,0,59.99,0,0,2,183,1,25.6,25,1.74440244257051,2.32596685082873,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,503,NA
"55",10,"1305855",1,0,59.99,0,0,1,183,1,24,25,1.66685190330647,2.22256182272854,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,6,NA,NA,NA,NA,NA,501,NA
"56",10,"1305860",1,0,59.99,0,0,1,199,1,25.6,25,1.74440244257051,2.32596685082873,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,508,NA
"57",10,"1309398",1,0,59.99,0,0,1,194,1,25.6,25,1.74440244257051,2.32596685082873,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,510,NA
"58",10,"1309407",1,0,59.99,0,0,2,183,1,25.6,25,1.74440244257051,2.32596685082873,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,508,NA
"59",10,"565916",1,0,129.95,0,0,1,169,1,36.77,-15,1.3946125778064,1.3946125778064,0.896516040013798,59,6,6,3,3,6,0,19,0,NA,0,0,2,4,4,3,19
"60",10,"1309403",4,0,59.99,0,0,2,183,1,24,25,1.66685190330647,2.22256182272854,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,510,NA
"61",11,"1194325",0,0,189.99,0,0,1,141,1,76.67,45.99,1.67657959759972,1.67657959759972,1.319375,59,26,26,3,NA,NA,NA,NA,0,18,NA,NA,NA,NA,NA,234,NA
"62",11,"1305860",0,0,59.99,0,0,1,199,1,21.77,25,1.56959706959707,2.09288330716902,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,508,NA
"63",11,"1309395",0,0,59.99,0,0,1,183,1,24.9,25,1.70960387574808,2.27956682815617,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,505,NA
"64",11,"1309422",0,0,59.99,0,0,2,183,1,24.9,25,1.70960387574808,2.27956682815617,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,503,NA
"65",11,"1305855",1,0,59.99,0,0,1,183,1,21.77,25,1.56959706959707,2.09288330716902,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,6,NA,NA,NA,NA,NA,501,NA
"66",11,"1305865",1,0,59.99,0,0,1,192,1,21.77,25,1.56959706959707,2.09288330716902,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,503,NA
"67",11,"1309398",1,0,59.99,0,0,1,194,1,24.9,25,1.70960387574808,2.27956682815617,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,510,NA
"68",11,"1309403",1,0,59.99,0,0,2,183,1,20,25,1.50012503125781,2.00025006251563,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,510,NA
"69",11,"1309407",1,0,59.99,0,0,2,183,1,24.9,25,1.70960387574808,2.27956682815617,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,508,NA
"70",11,"565916",1,0,129.95,0,0,1,169,1,36.77,-15,1.3946125778064,1.3946125778064,0.896516040013798,59,6,6,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,3,NA
"71",12,"1194325",0,0,189.99,0,0,1,141,1,80.6,45.99,1.73681323704178,1.73681323704178,1.319375,59,26,26,3,NA,NA,NA,NA,0,18,NA,NA,NA,NA,NA,234,NA
"72",12,"1305860",0,0,67.99,0,0,1,199,1,29.77,28,1.77891156462585,2.09288330716902,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,508,NA
"73",12,"1309407",0,0,67.99,0,0,2,183,1,32.9,28,1.93758905671131,2.27956682815617,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,508,NA
"74",12,"1309422",0,0,67.99,0,0,2,183,1,32.9,28,1.93758905671131,2.27956682815617,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,503,NA
"75",12,"565916",0,0,129.95,0,0,1,169,1,36.77,-15,1.3946125778064,1.3946125778064,0.896516040013798,59,6,6,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,3,NA
"76",12,"1305865",1,0,67.99,0,0,1,192,1,29.77,28,1.77891156462585,2.09288330716902,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,503,NA
"77",12,"1309395",1,0,67.99,0,0,1,183,1,32.9,28,1.93758905671131,2.27956682815617,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,505,NA
"78",12,"1309398",1,0,67.99,0,0,1,194,1,32.9,28,1.93758905671131,2.27956682815617,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,510,NA
"79",12,"1309403",1,0,67.99,0,0,2,183,1,32.9,28,1.93758905671131,2.27956682815617,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,510,NA
"80",12,"1305855",2,0,67.99,0,0,1,183,1,29.77,28,1.77891156462585,2.09288330716902,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,6,NA,NA,NA,NA,NA,501,NA
"81",13,"1305855",0,0,59.99,0,0,1,183,1,21.77,20,1.56959706959707,2.09288330716902,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,6,NA,NA,NA,NA,NA,501,NA
"82",13,"1305860",0,0,59.99,0,0,1,199,1,21.77,20,1.56959706959707,2.09288330716902,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,508,NA
"83",13,"1305865",0,0,59.99,0,0,1,192,1,21.77,20,1.56959706959707,2.09288330716902,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,503,NA
"84",13,"1309395",0,0,59.99,0,0,1,183,1,24.9,20,1.70960387574808,2.27956682815617,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,505,NA
"85",13,"1309407",0,0,59.99,0,0,2,183,1,24.9,20,1.70960387574808,2.27956682815617,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,508,NA
"86",13,"1309422",0,0,59.99,0,0,2,183,1,24.9,20,1.70960387574808,2.27956682815617,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,503,NA
"87",13,"565916",0,0,123.45,0,0,1,169,1,30.27,-21.5,1.32485511912428,1.3946125778064,0.896516040013798,59,6,6,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,3,NA
"88",13,"1194325",1,0,284.99,0,0,1,141,1,175.6,140.99,2.60526556357985,2.7423896151385,2.08326388888889,59,26,26,3,NA,NA,NA,NA,0,18,NA,NA,NA,NA,NA,234,NA
"89",13,"1309398",1,0,59.99,0,0,1,194,1,24.9,20,1.70960387574808,2.27956682815617,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,510,NA
"90",13,"1309403",1,NA,59.99,0,0,2,183,1,NA,20,NA,NA,2.00025006251563,54,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,510,NA
"91",14,"1194325",0,0,269.99,0,0,1,141,1,151.7,125.99,2.28244145743512,2.53605545692789,2.08326388888889,59,26,26,3,NA,NA,NA,NA,0,18,NA,NA,NA,NA,NA,234,NA
"92",14,"1305855",0,0,59.99,0,0,1,183,1,21.27,20,1.54932851239669,2.06585743801653,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,6,NA,NA,NA,NA,NA,501,NA
"93",14,"1305860",0,0,59.99,0,0,1,199,1,20.37,20,1.51413427561837,2.01892983341747,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,508,NA
"94",14,"1305865",0,0,59.99,0,0,1,192,1,21.27,20,1.54932851239669,2.06585743801653,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,503,NA
"95",14,"1309398",0,0,59.99,0,0,1,194,1,24.9,20,1.70960387574808,2.27956682815617,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,510,NA
"96",14,"565916",0,0,116.95,0,0,1,169,1,23.77,-28,1.25509766044215,1.3946125778064,0.896516040013798,59,6,6,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,3,NA
"97",14,"1309403",1,0,59.99,0,0,2,183,1,24.9,20,1.70960387574808,2.27956682815617,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,510,NA
"98",14,"1309422",1,0,59.99,0,0,2,183,1,24.9,20,1.70960387574808,2.27956682815617,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,503,NA
"99",14,"1309395",2,0,59.99,0,0,1,183,1,24.9,20,1.70960387574808,2.27956682815617,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,505,NA
"100",14,"1309407",2,0,59.99,0,0,2,183,1,24.9,20,1.70960387574808,2.27956682815617,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,508,NA
"101",15,"1194325",0,0,299.99,0,0,1,141,1,173.2,155.99,2.36603833109867,2.36603833109867,2.08326388888889,59,26,26,3,NA,NA,NA,NA,0,18,NA,NA,NA,NA,NA,234,NA
"102",15,"1305855",0,0,71.99,0,0,1,183,1,33.77,32,1.88356881214024,2.09288330716902,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,6,NA,NA,NA,NA,NA,501,NA
"103",15,"1305860",0,0,71.99,0,0,1,199,1,33.77,32,1.88356881214024,2.09288330716902,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,508,NA
"104",15,"1305865",0,0,71.99,0,0,1,192,1,33.77,32,1.88356881214024,2.09288330716902,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,503,NA
"105",15,"1309422",0,0,71.99,0,0,2,183,1,36.35,32,2.0199214365881,2.24438832772166,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,503,NA
"106",15,"565916",0,0,129.95,0,0,1,169,1,36.77,-15,1.3946125778064,1.3946125778064,0.896516040013798,59,6,6,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,3,NA
"107",15,"1309395",1,0,71.99,0,0,1,183,1,36.9,32,2.05158164719293,2.27956682815617,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,505,NA
"108",15,"1309398",1,0,71.99,0,0,1,194,1,36.9,32,2.05158164719293,2.27956682815617,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,510,NA
"109",15,"1309403",2,0,71.99,0,0,2,183,1,33.27,32,1.8592458677686,2.06585743801653,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,510,NA
"110",15,"1309407",4,0,71.99,0,0,2,183,1,36.9,32,2.05158164719293,2.27956682815617,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,508,NA
"111",16,"1194325",0,0,299.99,0,0,1,141,1,173.2,155.99,2.36603833109867,2.36603833109867,2.08326388888889,59,26,26,3,NA,NA,NA,NA,0,18,NA,NA,NA,NA,NA,234,NA
"112",16,"1305855",0,0,71.99,0,0,1,183,1,33.27,32,1.8592458677686,2.06585743801653,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,6,NA,NA,NA,NA,NA,501,NA
"113",16,"1305860",0,0,71.99,0,0,1,199,1,32.37,32,1.81701161029783,2.01892983341747,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,508,NA
"114",16,"1305865",0,0,71.99,0,0,1,192,1,33.27,32,1.8592458677686,2.06585743801653,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,503,NA
"115",16,"1309395",0,0,71.99,0,0,1,183,1,36.9,32,2.05158164719293,2.27956682815617,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,505,NA
"116",16,"1309422",0,0,71.99,0,0,2,183,1,36,32,2.00027785495971,2.22256182272854,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,503,NA
