Extraction_Date,ord_week_nmb,Site_Name,TCIN,amazon_product_ID,amazon_product_name,amazon_Regular_price,Regular_Price_Range,amazon_Shipping,amazon_disc_perc,amazon_markdown_price,amazon_final_price,amazon_Product_Description,amazon_availability,amazon_additional_info,amazon_price_promo
03-12-2012,1,Amazon,10638009,B000SRO3IK,Rockland Luggage Rolling 22 Inch Duffle Bag,25.59,n/a,0,0,25.59,25.59,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $43.41 (63%)
03-12-2012,1,Amazon,10638011,B000SRN7EG,Rockland Luggage Rolling 22 Inch Duffle Bag,28.49,n/a,0,0,28.49,28.49,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $40.51 (59%)
03-12-2012,1,Amazon,10660599,B000UQ5M2K,Sumdex DigiPodCompact Computer Sleeve-15.4,20.58,n/a,5.58,0,0,20.58,n/a,Yes,& eligible for FREE Super Saver Shipping on orders over $25.,n/a
03-12-2012,1,Amazon,10660606,B000UQ2CGO,Sumdex Compact Brief for Notebooks up to 13.3 Inches (Black),20.33,n/a,5.51,0,20.33,20.33,Compact computer brief fitting up to 13.3-Inch notebook computer. Front accessory pocket. Exterior back accessory pocket. Detachable / adjustable shoulder strap. Made of water repellent polyester.,Yes,& eligible for FREE Super Saver Shipping on orders over $25.,You Save: $9.62 (32%)
03-12-2012,1,Amazon,10660638,B000UQ3TOI,Sumdex Fashion Place Compufolio,22.98,n/a,6.17,0,22.98,22.98,n/a,Yes,& eligible for FREE Super Saver Shipping on orders over $25.,You Save: $22.97 (50%)
03-12-2012,1,Amazon,10660650,B00005Q70B,Sumdex Laptop Notebrief,30.94,n/a,0,0,30.94,30.94,n/a,Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $39.01 (56%)
03-12-2012,1,Amazon,10692089,B0010XXRJM,Heys Sidewinder-TSA Luggage Set,359.99,n/a,0,0,359.99,359.99,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $480.01 (57%)
03-12-2012,1,Amazon,10692094,B000VDX382,Heys Sidewinder-TSA Luggage Set,359.99,n/a,0,0,359.99,359.99,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $480.01 (57%)
03-12-2012,1,Amazon,10692172,B000VDRFMC,Heys Sidewinder-TSA Luggage Set,359.99,n/a,0,0,359.99,359.99,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $480.01 (57%)
03-12-2012,1,Amazon,10903918,B001CZ3EPU,Heys Xcase Exotic Carry-On,101.97,n/a,0,0,101.97,101.97,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $198.03 (66%)
03-12-2012,1,Amazon,10944872,B001CJS75S,US Traveler Rio Two Piece Expandable Carry-On Luggage Set,40.77,n/a,0,0,40.77,40.77,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $9.22 (18%)
03-12-2012,1,Amazon,10944873,B003SMJCE2,US Traveler Rio Two Piece Expandable Carry-On Luggage Set,35.99,n/a,0,0,35.99,35.99,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $14.00 (28%)
03-12-2012,1,Amazon,10989160,B000U5N2P0,"Wordlock PL-004-BK 5-Dial Combination Padlock, Black",8.96,n/a,5.24,0,8.96,8.96,"Wordlock Padlocks provide maximum security against theft with a 2 5/8 inch hardened steel shackle and body. With 100,000 different letter combinations, you can pick words that are easy for you to remember but next to impossible for anyone to guess. The password is easy to set, with a twist of the dial, and you can change your password whenever you want. And it is perfect for school lockers, the gym, sheds, tool boxes, or anywhere you need a secure indoor, outdoor padlock. Since all our locks are weatherproof, they can stand up to the toughest environments. They are extra strong, extra secure, and easy to use. Forget confusing number combinations! Wordlock offers the only products that use the natural preference of your memory for keywords and the alphabet to create word combinations. Our patented Wordlock technology combines the best mix of vowels and consonants on the rotating letter dials. From the occasional need for extra peace of mind to the brute strength required to secure expen",Yes,& eligible for FREE Super Saver Shipping on orders over $25.,You Save: $1.03 (10%)
03-12-2012,1,Amazon,10989161,B000U5IXX6,"Wordlock PL-002-RD 5-Dial Combination Padlock, Red",8.6,n/a,5.27,0,8.6,8.6,"The Wordlock Padlock is an easy-to-use, secure padlock that features letter--not number--combinations. Instead of requiring you to memorize a random string of numbers, the Wordlock Padlock enables you to choose almost any five-letter word as your password. With over 100,000 different letter combinations, the Wordlock Padlock makes it easy to pick a word that is unique to you, so you'll have a combination that is easy to remember but nearly impossible to guess",Yes,& eligible for FREE Super Saver Shipping on orders over $25.,You Save: $1.39 (14%)
03-12-2012,1,Amazon,10989162,B000U5GUQS,"Wordlock PL-001-PK 5-Dial Combination Padlock, Pink",9.06,n/a,5.32,0,9.06,9.06,"Wordlock Padlocks provide maximum security against theft with a 2 5/8 inch hardened steel shackle and body. With 100,000 different letter combinations, you can pick words that are easy for you to remember but next to impossible for anyone to guess. The password is easy to set, with a twist of the dial, and you can change your password whenever you want. And it is perfect for school lockers, the gym, sheds, tool boxes, or anywhere you need a secure indoor, outdoor padlock. Since all our locks are weatherproof, they can stand up to the toughest environments. They are extra strong, extra secure, and easy to use. Forget confusing number combinations! Wordlock offers the only products that use the natural preference of your memory for keywords and the alphabet to create word combinations. Our patented Wordlock technology combines the best mix of vowels and consonants on the rotating letter dials. From the occasional need for extra peace of mind to the brute strength required to secure expen",Yes,& eligible for FREE Super Saver Shipping on orders over $25.,You Save: $0.93 (9%)
03-12-2012,1,Amazon,10999401,B001FDR9P0,Travelers Choice Freedom 3 Piece Lightweight Hard-Shell Spinning Rolling Luggage Set,139.98,n/a,0,0,139.98,139.98,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $360.01 (72%)
03-12-2012,1,Amazon,10999408,B001FDJDHC,Travelers Choice Freedom 3 Piece Lightweight Hard-Shell Spinning Rolling Luggage Set,137.68,n/a,0,0,137.68,137.68,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $362.31 (72%)
03-12-2012,1,Amazon,11064856,B001JRIISY,Rockland Luggage 4 Piece Luggage Set,83.29,n/a,0,0,83.29,83.29,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $156.70 (65%)
