net_Sales,amazon_Shipping,kohl_final_price,kohl_Shipping,Target_Shipping,TCIN_var,kohl_pdt_desc_length,Availability,Price_diff_amazon_final_pr,Price_diff_target_final_pr,Price_rat_amazon_final_pr,Price_rat_amazon_reg_pr,Price_rat_target_reg_pr,Recency_week,Amz_No_of_images,Amz_Not_User_Gen_images,Amz_pdt_desc_length,Amz_rating5,Amz_Review_count,Amz_Total_negative_sent_score,Amz_Total_Positive_sent_score,Amz_User_Generated_images,kohls_Number_of_images,Neg_tot_wt_score,pos_avg_wt_score,reviews_1_M,reviews_3_M,reviews_6_M,Target_pdt_desc_length,Total_sentiment_score
0.693147181,0,3.380994674,0,0,0,1.386294361,0.693147181,5.533389489,4.430816799,0.641989865,0.855585186,0.879023043,2.833213344,1.098612289,1.098612289,3,NA,NA,NA,NA,0,0.693147181,NA,NA,NA,NA,NA,0,NA
0.693147181,0,3.380994674,0,0,0,3.295836866,0.693147181,5.531094367,4.435567402,0.627911808,0.836585989,0.891209882,2.833213344,5.298317367,3.555348061,3,NA,NA,NA,NA,5.111987788,NA,NA,NA,NA,NA,NA,6.525029658,NA
0.693147181,0,3.380994674,0,0,0,3.871201011,0.693147181,5.537294896,4.45423101,0.66683197,0.888887109,0.941382607,2.397895273,5.298317367,3.555348061,3,NA,NA,NA,NA,5.111987788,0,NA,NA,NA,NA,NA,5.981414211,NA
0.693147181,0,3.380994674,0,0,0.693147181,3.988984047,0.693147181,5.537294896,4.45423101,0.66683197,0.888887109,0.941382607,2.833213344,5.298317367,3.555348061,3,NA,NA,NA,NA,5.111987788,0.693147181,NA,NA,NA,NA,NA,5.981414211,NA
0.693147181,0,3.380994674,0,0,0,4.17438727,0.693147181,5.537294896,4.45423101,0.66683197,0.888887109,0.941382607,2.397895273,5.298317367,3.555348061,3,NA,NA,NA,NA,5.111987788,0.693147181,NA,NA,NA,NA,NA,6.023447593,NA
0.693147181,0,3.380994674,0,0,0,3.988984047,0.693147181,5.531094367,3.80666249,0.627911808,0.836585989,0.13982719,2.833213344,5.298317367,3.555348061,3,NA,NA,NA,NA,5.111987788,0,NA,NA,NA,NA,NA,5.905361848,NA
0.693147181,0,3.380994674,0,0,0,3.36729583,0.693147181,5.537294896,4.45423101,0.66683197,0.888887109,0.941382607,2.833213344,5.298317367,3.555348061,3,NA,NA,NA,NA,5.111987788,0,NA,NA,NA,NA,NA,5.905361848,NA
0.693147181,0,3.380994674,0,0,0,3.850147602,0.693147181,5.537294896,4.45423101,0.66683197,0.888887109,0.941382607,2.833213344,5.298317367,3.555348061,3,NA,NA,NA,NA,5.111987788,0,NA,NA,NA,NA,NA,5.905361848,NA
0.693147181,0,3.380994674,0,0,0,3.36729583,0.693147181,5.531094367,4.45423101,0.627911808,0.836585989,0.941382607,2.833213344,5.298317367,3.555348061,3,NA,NA,NA,NA,5.111987788,NA,NA,NA,NA,NA,NA,6.126869184,NA
0.693147181,0,3.380994674,0,0,0,3.663561646,0.693147181,5.537294896,4.45423101,0.66683197,0.888887109,0.941382607,2.833213344,5.298317367,3.555348061,3,NA,NA,NA,NA,5.111987788,0,NA,NA,NA,NA,NA,5.905361848,NA
