"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60"
"kohl_Regular_price",0.0807624826996173,0.26258922905016,-0.0596354340553378,0.0474173367216993,-0.0517429870596618,0.037074618704737,-0.0468368974866083,0.0361921704945839,0.0289740235365536,-0.0320083913071029,0.00717719811401012,-0.0326431565086278,0.0497519893934706,-0.0472876922591382,0.0344028176546038,-0.112733317227636,0.151254101655602,-0.0178497892435655,0.0270696764318382,-0.00832250445576923,-0.152884312237904,0.077991548797694,-0.0286985342316295,0.102971207447988,0.0209294622136587,-0.0364665071139313,-0.00103275746447455,-0.020377971623236,0.0534239300079584,0.0175883931590618,0.0315347931734233,0.0902862110609289,0.0324605254058281,0.204655258496389,-0.251672325578415,-0.0525471924114607,-0.0606286814639118,-0.0446437307620377,0.143195551098518,0.000190149018682374,0.0553152875214199,0.209551785114921,0.00572625775769502,0.0118615669677321,0.00690345499303605,0.00280862272845071,0.36177513530365,0,0.704918851645296,0,0,0,0,0,0,0,0,0,0,0
"kohl_disc_perc",0.0294668815067537,0.0764493958257274,-0.0253059013879629,0.0889519020507992,-0.48293310473325,0.0561045389993016,-0.00165399248234692,0.103201072947414,0.0795329209450976,-0.0650604075922036,0.0391831390970545,-0.115870091974377,0.10480327597811,-0.0136287868345737,0.131311279745756,-0.0643756522867584,-0.00621679709766779,0.0617111053809449,0.000371710560970311,-0.0581331146242683,0.436754974882483,0.144127687214961,0.0291760270957631,-0.285503360466388,-0.0273918670126591,0.0820738943165644,0.0615513065214627,0.0637561887918747,0.224010400507924,-0.154857884559466,0.0792788343806348,-0.0399001992928463,0.00860427627140871,-0.20190641218237,0.0197525722282482,0.0200655780524413,0.0402358335770933,-0.244681385610793,0.410299957272536,5.6083443110818e-05,-0.0201992295968465,-0.095016405279856,-0.00469137223724126,-0.0133822910601164,0.00232658825790593,-0.00522562697591949,-1.13797860024079e-15,-2.37310171513627e-15,-2.4980018054066e-16,4.27435864480685e-15,-2.1163626406917e-16,1.55431223447522e-15,-2.65412691824451e-16,5.34294830600857e-16,9.92261828258734e-16,1.23945992358543e-15,-1.49533163629201e-15,-5.759281940243e-16,1.11422667840537e-16,2.96529294174785e-16
"kohl_markdown_price",0.0526277845779778,0.125229060003239,-0.0666165729380102,0.132606088224918,-0.384339596219628,0.036170534546373,-0.0214767613374476,0.0938792480999831,0.154156965136061,-0.00750909064548376,0.119609750051124,-0.0349606772723728,0.0155755106760599,-0.00280171163904527,0.187952801049651,0.0404766410230379,-0.265143522087211,-0.027195686143437,-0.201350404776882,0.189472353533476,-0.0497001124904078,-0.608951697062677,-0.0369858986220066,0.336620906597281,-0.225517502744061,-0.012151908333229,0.00467140969723232,0.0563966730768781,-0.14428335772352,0.0766043009985989,0.0275730235944268,2.41394185765079e-05,-0.0458852185925106,0.00797838532507909,0.0494250721516732,0.00319325313594012,0.0387930870338371,0.0115183015266694,-0.035257362601048,-0.00586917769742784,0.00132917527014257,-0.00248896099025118,0.00192986968195648,0.000347434784855826,0.00114543967305004,-0.000652192036996518,-8.11850586757146e-16,1.56627978976134e-15,2.77555756156289e-16,-7.98871491055577e-16,8.49160542009659e-17,-4.51197198749334e-16,7.9209277158952e-16,-5.37605563522969e-16,-1.52113093619687e-16,-1.29778316710431e-16,9.04767194122432e-17,2.7826893319467e-16,-5.88987040666904e-17,4.49854043658292e-16
"kohl_final_price",0.0816677321671154,0.247141537744485,-0.0643848870137756,0.0329136599311861,0.186226034507499,-0.00723975212419917,-0.038733105798107,0.0339854625746136,-0.00811012564169925,-0.00901334291033398,-0.0136643090770583,0.0310727335487037,-0.00623237483487343,-0.00238139677946674,0.00830930037370302,-0.0886931015497182,0.0663319842165862,0.0163125208769043,0.00527751013769836,-0.00242770860183761,0.17245353369879,-0.0397650892721448,-0.0335353936431678,-0.00520199679275392,-0.0993330852864929,-0.116665732089672,-0.0749344368275694,0.077944024945965,-0.0107136941070358,-0.01163478319701,0.0270139095219398,-0.00409880294502301,-0.00149804237703126,-0.0525649423075746,0.0454047444146018,0.00526397409716955,0.00946061080918871,0.0233992875300298,-0.0628043634404809,-0.00397006286901084,-0.00251334132291261,-0.128299384945421,-0.0031343092464192,-0.00983265530323554,-0.00119649447506092,-0.00188931335885101,-0.199618664593026,-0.00925901873716814,0.102447351526662,-0.345506007721854,-0.478243213881672,0.334089880520867,-0.342083838035717,0.0619555059808127,-0.335605618644781,-0.0301110473989258,-0.0805707812473229,-0.141551151525865,-5.58951627386739e-17,0.0996262953868409
"amazon_Regular_price",0.113874749137966,0.161776256662214,0.108006170872424,-0.169469387114186,-0.118348637673879,0.031441814354179,-0.0237939575125929,0.127502721518957,-0.0184976468364211,0.125211130384016,-0.00176336938985983,0.199052054493617,-0.130223818174932,0.00507382939653853,-0.126962040707029,0.340512380840383,0.295650551841178,-0.126274815675695,-0.135403564034862,-0.00612933971300506,0.0826648099540903,-0.0287749376864597,0.00892792610042862,0.0132112551505006,-0.0050286143654109,0.122698799078512,0.0921170275723247,-0.068587715209855,0.0249816775992036,0.00464850693327356,-0.043228873412531,0.0147415575185773,0.021861449264801,0.0568359618069845,0.125972880044742,0.0309416165944375,0.0138465053622878,-0.000366802593245969,-0.0149663850032656,-0.0189221894503074,0.0395234013439507,0.0207998273354999,0.00139766736924295,0.000171694694498432,0.00294118653079761,0.00171708838265267,-0.000913136858374505,0.0105795040375275,0.00046863580072759,0.0207221622426213,-0.0168034723522145,0.148116623765417,-0.212670596004553,-0.263314695744833,0.0548309414338328,0.188879307149424,0.223832898504428,0.516634309198006,4.25069094992771e-18,0.0835422625251969
"amazon_markdown_price",0.116472522744186,0.134525451137478,0.115964087217682,-0.172772630922643,-0.0814486846633289,-0.00270308744305819,-0.00460039393718525,0.211232996745644,0.0216711287953998,0.0947018226965185,0.0345564321370043,0.0814722516614387,-0.17067459333701,0.0121762339051699,-0.0285137336528777,0.166038419905035,-0.285762514019649,0.462646228548578,0.658927719741428,-0.0794997911863285,-0.0344272602913867,0.0191286952878825,-0.0549044939830491,0.18729010240464,-0.00203148724160794,-0.0379882254434101,0.0048106969242598,-0.0213774366756014,0.114446614899065,-0.0339368294664568,0.0228107146567716,0.0254953157733262,0.0365379456439715,0.00714864522096778,0.0596735912236762,0.0117237758076175,0.00511443078446697,0.00416936226325662,-0.0128702953854307,-0.00530574176673862,0.0155724375949602,0.00731405786437542,0.000610735912598687,-0.00308507903266254,-0.000283077055865666,0.001122077817144,-5.41233724504764e-16,3.66568754517349e-16,-2.77555756156289e-17,-2.4307812707125e-16,-8.99887803162969e-17,-2.21177243187043e-17,1.49619899803e-16,-8.50014503228635e-17,2.10335221462188e-17,-1.5482407023093e-16,3.81639164714898e-17,4.85722573273506e-17,7.75176048347663e-18,1.07552855510562e-16
"amazon_final_price",0.113874749137966,0.161776256662214,0.108006170872424,-0.169469387114186,-0.118348637673879,0.0314418143541789,-0.0237939575125925,0.127502721518956,-0.018497646836421,0.125211130384015,-0.00176336938985982,0.199052054493617,-0.130223818174932,0.00507382939653857,-0.126962040707029,0.340512380840383,0.295650551841178,-0.126274815675694,-0.135403564034862,-0.00612933971300502,0.0826648099540902,-0.02877493768646,0.0089279261004289,0.0132112551505005,-0.00502861436541071,0.122698799078512,0.0921170275723246,-0.0685877152098552,0.0249816775992039,0.00464850693327361,-0.0432288734125306,0.0147415575185771,0.0218614492648004,0.0568359618069832,0.125972880044742,0.0309416165944383,0.0138465053622871,-0.00036680259324589,-0.0149663850032686,-0.0189221894503088,0.0395234013439554,0.0207998273354963,0.00139766736924414,0.000171694694497474,0.00294118653079695,0.00171708838265153,0.000913136858375914,-0.0105795040375277,-0.000468635800727812,-0.0207221622426218,0.0168034723522136,-0.148116623765418,0.212670596004553,0.263314695744833,-0.0548309414338332,-0.188879307149425,-0.223832898504428,-0.516634309198006,-2.51662051157623e-18,-0.083542262525196
"Target_Regular_price",0.0681974504293086,0.240137054117269,-0.0967936439845291,0.143935340479833,-0.0201431940232802,-0.0214007991500833,-0.035609142409027,0.0836099009652471,0.0179301949029871,0.0138519561949981,-0.0253831884271743,0.109146775346355,-0.175578272891953,0.0154400607617607,-0.181015967604166,-0.267770954449422,0.0752159672738189,-0.063697950373142,0.00100748663021097,0.00336084203551035,-0.157716557688225,0.0561189743351159,0.0122215459470554,0.119856952831405,-0.00667031151688218,0.0300120000585165,0.0178974083675475,0.0213940699156725,0.0484769168063024,-0.120828180764187,0.0552831073314047,-0.110655662010728,-0.0590254273307296,-0.181066435335565,-0.0249518918125903,0.00800918389082295,0.0180511679758415,-0.0449469771583241,0.10879671708559,0.14456980438426,-0.369557046251709,0.605982992442807,0.0137009531180129,0.0470889691050428,-0.0200801090870728,0.0074816646571301,-0.133071220263491,-2.23540803923061e-15,-0.259289272869591,-2.35206819299005e-15,-1.44068784679874e-15,2.59254423484734e-15,-8.29197821516914e-16,-4.42354486374086e-16,-1.4245332344287e-15,1.94289029309402e-16,-3.54143797620665e-15,-4.19109191795997e-15,-4.16940229251451e-17,-9.27209697909603e-16
"Target_disc_perc",-0.0106102762453422,0.126174195382932,-0.0615071519582065,0.0500362916557971,-0.163554290669626,0.303020445803786,-0.12835819447753,-0.430123355475016,0.00891766738957442,0.29422501783338,-0.140229655704642,0.0118932073295948,-0.130659561763574,0.101389632763415,-0.0471490488167648,-0.0154492616391869,-0.0826509729582389,0.0325294737887219,0.058637220420128,-0.028652875539237,0.031886508946194,0.106534103320336,-0.00979603752032438,-0.0692461541783947,-0.00381713912856016,0.251637648635868,0.212793335646796,0.549999199051826,-0.106753804826172,0.0664912352572962,0.0538634864882839,0.0350183831504424,0.00197629544360864,0.0703034086890314,-0.108567932910973,-0.0324395698694814,-0.0234023557123681,0.105854715570099,-0.174028927098018,0.00527982933294274,-0.0114996440759289,-0.0299954558849669,-0.000545100808126008,-0.000953101323186203,-0.00266870346500585,0.000401899969300743,2.63677968348475e-16,2.51033460511862e-16,1.11022302462516e-16,-1.69569219776733e-16,3.38271077815477e-16,-5.45570533194706e-16,-1.23165366794353e-16,5.13911829758129e-17,-4.46257614195034e-16,-3.15123361432912e-16,5.04262430423008e-16,1.12106504635001e-16,3.53882241533241e-18,-4.63604848954802e-16
"Target_markdown_price",-0.00844975273926605,0.13261604184469,-0.0706269080323715,0.0625375145761528,-0.153683661020179,0.296261001886772,-0.125820361066209,-0.431312272956082,0.0161065122638394,0.270378956278178,-0.157019990157856,-0.00354270369432383,-0.102735376638097,0.120315379408717,-0.0356994293811521,-0.0590853537828886,-0.0730126477897137,-0.00749360802922046,-0.0154664467540169,0.00302500691032522,-0.039129209891558,-0.00600474585338237,-0.00858129298256818,-0.0133831578810139,-0.00673723662035164,-0.222233555043924,-0.199000495814027,-0.616983187743134,0.152662096735077,-0.071828345175871,-0.0706599953813914,-0.033472173166598,0.0124766379560714,-0.064706071773982,0.0906863130953085,0.0259938468335078,-0.000136280982723554,-0.00255870261375962,-0.0171925158166917,-0.0230772539132235,0.042900984231621,-0.0685875484928557,-0.00177219330421915,-0.000997664292679381,0.00151578816147637,-0.000265987807231546,-9.71445146547012e-17,3.82235475909765e-16,-3.88578058618805e-16,-1.92716936159298e-17,-2.19334099493818e-16,-2.61075883134509e-16,8.67361737988404e-17,-1.37043154602168e-16,5.38631639290799e-16,-4.9439619065339e-17,4.65773253299773e-16,8.18789480661053e-16,2.63794453423272e-17,1.72171304990698e-16
