ord_week_nmb,Product_desc,Sales_volume,sales_value,Avg_unit_retail_price,Avg_highest_price,Highest_price,Avg_disc,total_avail
23,Pants_ Cropped_0,3,417,139,231.6666667,275,0.4,15
23,Pants_ Cropped_10,4,996,249,277.5,295,0.1,29
23,Pants_ Cropped_2,3,577,192.3333333,268.3333333,285,0.266666667,33
23,Pants_ Cropped_4,6,1241,206.8333333,257.5,295,0.2,54
23,Pants_ Cropped_6,8,1871,233.875,271.875,295,0.15,27
23,Pants_ Cropped_8,2,466,233,290,295,0.2,19
23,Pants_ Cropped_M,2,590,295,295,295,0,19
23,Pants_ Cropped_S,1,295,295,295,295,0,9
23,Pants_ Cropped_XS,1,295,295,295,295,0,8
23,Pants_ Leggings_L,1,348,348.25,995,995,0.65,8
23,Pants_ Leggings_M,9,6826,758.5,902.2222222,1250,0.144444444,65
23,Pants_ Leggings_S,10,5686.4,575.8,997,1250,0.39,22
23,Pants_ Leggings_XS,10,2715,271.625,595,995,0.325,41
23,Pants_ Skinny_0,2,1385,692.5,692.5,1150,0,1
23,Pants_ Skinny_12,1,1150,1150,1150,1150,0,0
23,Pants_ Skinny_2,3,1206,402.5,1150,1150,0.65,6
23,Pants_ Skinny_24,2,136,68.25,195,195,0.65,2
23,Pants_ Skinny_25,2,160,92.625,195,195,0.525,2
23,Pants_ Skinny_26,4,424,106.1875,201.25,220,0.4875,7
23,Pants_ Skinny_28,2,440,220,220,220,0,2
23,Pants_ Skinny_29,1,68,68.25,195,195,0.65,1
23,Pants_ Skinny_4,2,804,402.5,1150,1150,0.65,0
23,Pants_ Skinny_6,6,3023,504.1666667,1002.5,1150,0.433333333,14
23,Pants_ Skinny_8,6,2475,412.5,687.5,1150,0.4,4
23,Pants_ Skinny_M,1,1175,1175,1175,1175,0,1
23,Pants_ Skinny_S,2,2350,1175,1175,1175,0,4
23,Pants_ Skinny_XS,1,1175,1175,1175,1175,0,1
23,Pants_ Straight_Leg_0,1,235,235,235,235,0,1
23,Pants_ Straight_Leg_10,9,1613,179.3888889,245,265,0.277777778,13
23,Pants_ Straight_Leg_12,4,1020,218.4375,255,265,0.1625,40
23,Pants_ Straight_Leg_2,6,924,154.25,241.6666667,265,0.35,11
23,Pants_ Straight_Leg_26,2,440,220,220,220,0,22
23,Pants_ Straight_Leg_27,1,220,220,220,220,0,12
23,Pants_ Straight_Leg_4,3,439,146.6666667,255,275,0.433333333,0
23,Pants_ Straight_Leg_6,2,313,156.875,230,235,0.325,16
23,Pants_ Straight_Leg_8,2,188,94.5,270,275,0.65,34
23,Pants_ Straight_Leg_L,4,884,221,270,295,0.2,64
23,Pants_ Straight_Leg_M,8,2319,289.9375,395.625,1150,0.13125,16
23,Pants_ Straight_Leg_S,4,1180,295,295,295,0,25
23,Pants_ Straight_Leg_XS,2,294,147,245,245,0.4,0
23,Pants_ Wide_Leg_0,6,960,160.0833333,305,345,0.483333333,26
23,Pants_ Wide_Leg_10,1,177,177,295,295,0.4,0
23,Pants_ Wide_Leg_4,1,177,177,295,295,0.4,0
23,Pants_ Wide_Leg_6,6,1166,194.375,308.3333333,345,0.375,98
23,Pants_ Wide_Leg_8,2,502,251,310,325,0.2,36
23,Pants_ Wide_Leg_L,5,665,133,175,175,0.24,48
23,Pants_ Wide_Leg_M,14,1837,131.25,244.6428571,1150,0.389285714,72
23,Pants_ Wide_Leg_S,2,210,105,175,175,0.4,29
23,Pants_ Wide_Leg_XS,2,350,175,175,175,0,54
