ord_week_nmb,Product_desc,Sales_volume,sales_value,Avg_unit_retail_price,Avg_highest_price,Highest_price,Avg_disc,total_avail
17,Pants_ Cropped_0,2,530,265,265,295,0,17
17,Pants_ Cropped_10,3,700,233.3333333,233.3333333,295,0,15
17,Pants_ Cropped_12,2,570,285,285,295,0,4
17,Pants_ Cropped_2,2,530,265,265,295,0,2
17,Pants_ Cropped_25,2,234,117,195,195,0.4,3
17,Pants_ Cropped_26,1,117,117,195,195,0.4,3
17,Pants_ Cropped_28,1,117,117,195,195,0.4,5
17,Pants_ Cropped_4,1,295,295,295,295,0,2
17,Pants_ Cropped_6,9,2130,266.25,266.25,295,0,19
17,Pants_ Cropped_8,6,1365,227.5,227.5,295,0,14
17,Pants_ Cropped_L,1,690,690,1150,1150,0.4,0
17,Pants_ Cropped_M,1,690,690,1150,1150,0.4,0
17,Pants_ Cropped_S,5,4420,884,1160,1175,0.24,0
17,Pants_ Cropped_XS,3,2070,690,1150,1150,0.4,27
17,Pants_ Leggings_L,1,195,195,195,195,0,9
17,Pants_ Leggings_M,9,5808,645.4444444,1016.666667,1250,0.322222222,28
17,Pants_ Leggings_S,8,4266,533.4375,1068.125,1250,0.44375,6
17,Pants_ Leggings_XS,4,2265,566.25,911.25,1150,0.3,21
17,Pants_ Skinny_10,1,690,690,1150,1150,0.4,5
17,Pants_ Skinny_12,4,1183,295.75,453.75,1150,0.3,5
17,Pants_ Skinny_2,4,2760,690,1150,1150,0.4,2
17,Pants_ Skinny_25,5,479,96.1,191,195,0.5,1
17,Pants_ Skinny_28,1,117,117,195,195,0.4,0
17,Pants_ Skinny_30,1,117,117,195,195,0.4,12
17,Pants_ Skinny_31,1,64,64.75,185,185,0.65,11
17,Pants_ Skinny_4,5,2434,486.8,780,1150,0.32,46
17,Pants_ Skinny_6,1,285,285,285,285,0,8
17,Pants_ Skinny_8,2,955,477.5,707.5,1150,0.2,16
17,Pants_ Straight_Leg_10,6,1222,203.75,263.3333333,275,0.216666667,10
17,Pants_ Straight_Leg_2,3,565,188.3333333,255,275,0.266666667,3
17,Pants_ Straight_Leg_4,4,890,222.5,222.5,235,0,19
17,Pants_ Straight_Leg_6,5,680,136.05,243,265,0.45,17
17,Pants_ Straight_Leg_8,8,1387,173.46875,245,275,0.28125,4
17,Pants_ Straight_Leg_L,4,2315,578.75,923.75,1150,0.3,8
17,Pants_ Straight_Leg_M,5,977,195.5,267,295,0.26,8
17,Pants_ Straight_Leg_S,8,2567,320.9375,365.625,1150,0.1625,13
17,Pants_ Straight_Leg_XS,4,732,183.125,272.5,295,0.325,4
17,Pants_ Wide_Leg_0,4,1081,270.3125,315,345,0.1625,11
17,Pants_ Wide_Leg_10,3,965,321.6666667,321.6666667,345,0,9
17,Pants_ Wide_Leg_12,2,650,325,325,325,0,4
17,Pants_ Wide_Leg_2,2,590,295,295,295,0,4
17,Pants_ Wide_Leg_4,6,1800,300,300,325,0,11
17,Pants_ Wide_Leg_6,4,1092,273,302.5,325,0.1,29
17,Pants_ Wide_Leg_8,2,620,310,310,325,0,8
17,Pants_ Wide_Leg_L,1,175,175,175,175,0,3
17,Pants_ Wide_Leg_M,3,752,250.8333333,500,1150,0.216666667,6
17,Pants_ Wide_Leg_S,6,1050,175,175,175,0,8
17,Pants_ Wide_Leg_XS,10,1750,175,175,175,0,24
