ord_week_nmb,Product_desc,Sales_volume,sales_value,Avg_unit_retail_price,Avg_highest_price,Highest_price,Avg_disc,total_avail
19,Pants_ Cropped_0,2,189,126,210,210,0.4,0
19,Pants_ Cropped_12,2,530,265,265,295,0,0
19,Pants_ Cropped_2,5,671.5,163.4,241,275,0.32,29
19,Pants_ Cropped_24,2,175.5,117,195,195,0.4,20
19,Pants_ Cropped_25,4,368.55,117,195,195,0.4,40
19,Pants_ Cropped_26,4,397.8,117,195,195,0.4,40
19,Pants_ Cropped_27,3,351,117,195,195,0.4,12
19,Pants_ Cropped_28,4,409.5,117,195,195,0.4,1
19,Pants_ Cropped_29,2,152.1,117,195,195,0.4,2
19,Pants_ Cropped_4,7,811.6,150.1428571,222.1428571,295,0.342857143,22
19,Pants_ Cropped_6,3,522.5,201.6666667,275,275,0.266666667,24
19,Pants_ Cropped_8,9,1051.45,150.1111111,218.3333333,275,0.311111111,45
19,Pants_ Cropped_M,2,1380,690,1150,1150,0.4,1
19,Pants_ Cropped_S,3,1038.5,426.6666667,580,1150,0.133333333,2
19,Pants_ Cropped_XS,6,3440,573.3333333,726.6666667,1175,0.133333333,2
19,Pants_ Leggings_8,2,156,78.75,225,225,0.65,2
19,Pants_ Leggings_L,7,3695,528.0714286,990,1250,0.392857143,8
19,Pants_ Leggings_M,6,2254,419.4583333,1080,1250,0.608333333,27
19,Pants_ Leggings_S,7,4110.2,604.6071429,810.7142857,1150,0.207142857,23
19,Pants_ Leggings_XS,3,2070,690,1150,1150,0.4,2
19,Pants_ Skinny_0,3,505.5,193,258.3333333,285,0.266666667,0
19,Pants_ Skinny_10,5,1430.5,300.8,432,1150,0.24,29
19,Pants_ Skinny_2,2,975,487.5,717.5,1150,0.2,10
19,Pants_ Skinny_25,2,152.1,117,195,195,0.4,10
19,Pants_ Skinny_26,2,234,117,195,195,0.4,10
19,Pants_ Skinny_27,2,234,117,195,195,0.4,5
19,Pants_ Skinny_28,5,526.5,117,195,195,0.4,2
19,Pants_ Skinny_29,1,117,117,195,195,0.4,1
19,Pants_ Skinny_30,2,390,195,195,195,0,2
19,Pants_ Skinny_31,2,337,168.5,207.5,220,0.2,1
19,Pants_ Skinny_4,3,1145.25,509,848.3333333,1150,0.4,0
19,Pants_ Skinny_6,6,3622.5,690,1150,1150,0.4,29
19,Pants_ Skinny_8,4,1973.25,554.25,923.75,1150,0.4,12
19,Pants_ Straight_Leg_0,2,530,265,265,265,0,3
19,Pants_ Straight_Leg_10,6,1330,221.6666667,221.6666667,275,0,24
19,Pants_ Straight_Leg_12,4,720,180,235,275,0.2,34
19,Pants_ Straight_Leg_2,10,1530.6,162.6,241,265,0.32,70
19,Pants_ Straight_Leg_31,1,220,220,220,220,0,7
19,Pants_ Straight_Leg_4,8,1668,208.5,248.75,275,0.15,31
19,Pants_ Straight_Leg_6,8,1250.5,164.75,236.25,265,0.3,18
19,Pants_ Straight_Leg_8,3,525,175,248.3333333,275,0.266666667,8
19,Pants_ Straight_Leg_L,3,437,145.8333333,265,275,0.433333333,5
19,Pants_ Straight_Leg_M,8,1514,189.375,278.75,295,0.325,23
19,Pants_ Straight_Leg_S,5,1126,225.25,261,295,0.13,7
19,Pants_ Straight_Leg_XS,3,264,96.25,275,275,0.65,0
19,Pants_ Wide_Leg_0,1,96,96.25,275,275,0.65,0
19,Pants_ Wide_Leg_10,4,900.5,251,320,345,0.2,11
19,Pants_ Wide_Leg_12,1,295,295,295,295,0,5
19,Pants_ Wide_Leg_2,6,1449.1,265.6666667,311.6666667,345,0.133333333,30
19,Pants_ Wide_Leg_4,10,1632.1,205.6,321,345,0.36,17
19,Pants_ Wide_Leg_6,5,755.55,207,345,345,0.4,6
19,Pants_ Wide_Leg_8,5,853.9,224.6,335,345,0.32,25
19,Pants_ Wide_Leg_M,12,2807,250.8333333,500,1150,0.216666667,2
19,Pants_ Wide_Leg_S,6,1783,357,955,1150,0.52,3
19,Pants_ Wide_Leg_XS,2,350,175,175,175,0,2
