Product_Name,Avg_final_price
Sumdex She Rules Fashion Laptop Tote,89.99
Sumdex She Rules? Fashion Laptop Tote,84.99
Sumdex She Rules?Fashion Laptop Tote,99.99
Sumdex She RulesFashion Laptop Tote,84.99
Sumdex&reg; Aircube&trade; Laptop Sleeve,26.77571
Sumdex&reg; Business 17-in. Laptop Tote,58.49
Sumdex&reg; Digipod Laptop Sleeve,25.19
Sumdex&reg; NeoMetro Link 15-in. Laptop Laptop Briefcase,59.99
T-Tech by Tumi 2-pc. Luggage Tag Set,24.865
T-Tech by Tumi Analog Luggage Scale,29.82333
T-Tech by Tumi Cable Lock,24.84294
T-Tech by Tumi Convertible Undercover Stash,39.99
T-Tech by Tumi Digital Flashlight Clock,34.815
T-Tech by Tumi Digital Luggage Scale,34.815
T-Tech by Tumi Double Cable Lock,29.82333
T-Tech by Tumi Fiber Neck Pillow,32.99
T-Tech by Tumi Knit Eye Shade,24.99
T-Tech by Tumi Large Packing Cube,34.99
T-Tech by Tumi Luggage Strap,24.85842
T-Tech by Tumi Luggage Tag,22.99
T-Tech by Tumi Medium Packing Cube,29.84
T-Tech by Tumi Memory Foam Neck Pillow,39.72913
T-Tech by Tumi Packable Backpack,59.67421
T-Tech by Tumi Packable Duffel Bag,44.75316
T-Tech by Tumi Packable Gym Bag,54.715
T-Tech by Tumi Shirt Folder,44.99
T-Tech by Tumi Travel Adapter with USB,49.74
T-Tech by Tumi eReader Light,29.99
Taylor Digital Luggage Scale,21.85842
Taylor&reg; Digital Luggage Scale,24.99
Teenage Mutant Ninja Turtles Shell Backpack - Kids,13.99
Wildkin Ball 'n' All Sports Backpack - Kids,42.08677
Wildkin Big Dots Crackerjack Backpack - Kids,33.22273
Wildkin Big Dots Good Times Rolling Duffel Bag - Kids,67.22684
Wildkin Big Dots Jumpstart Messenger Bag - Kids,32.23286
Wildkin Big Dots Kickstart Messenger Bag - Kids,29.99
Wildkin Big Dots Laptop Messenger Bag - Kids,39.99
Wildkin Big Dots Macropak Backpack - Kids,38.99
Wildkin Big Dots Serious Backpack - Kids,57.79
Wildkin Big Dots Sidekick Backpack - Kids,29.99
Wildkin Camo Crackerjack Backpack - Kids,36.99
Wildkin Camo Good Times Rolling Duffel Bag - Kids,58.39
Wildkin Camo Jumpstart Messenger Bag - Kids,31.44
Wildkin Camo Kickstart Messenger Bag - Kids,29.24
Wildkin Camo Pack 'n Snack Backpack - Kids,25.99
Wildkin Camo Serious Backpack - Kids,63.6029
Wildkin Camo Sidekick Backpack - Kids,29.74
Wildkin Dinosaur Pack 'n Snack Backpack - Kids,25.99
Wildkin Horse Crackerjack Backpack - Kids,35.14
Wildkin Horse Dreams Crackerjack Backpack - Kids,36.99
Wildkin Horse Dreams Jumpstart Messenger Bag - Kids,36.99
Wildkin Horse Jumpstart Messenger Bag - Kids,36.99
Wildkin Horse Serious Backpack - Kids,64.50282
Wildkin Horses Backpack - Kids,36.99
Wildkin Kaleidoscope Backpack - Kids,36.29625
Wildkin Kaleidoscope Crackerjack Backpack - Kids,36.99
Wildkin Kickstart Messenger Bag - Kids,34.99
Wildkin Ladybug Pack 'n Snack Backpack - Kids,25.99
Wildkin Leopard Jumpstart Messenger Bag - Kids,36.99
Wildkin Leopard Macropack Backpack - Kids,40.84
Wildkin Leopard Serious Backpack - Kids,64.41105
Wildkin Lily Frogs Pack 'n Snack Backpack - Kids,25.99
Wildkin Macropack Backpack - Kids,42.99
Wildkin Majestic Crackerjack Backpack - Kids,36.99
Wildkin Majestic Jumpstart Messenger Bag - Kids,36.99
Wildkin Olive Kids Butterfly Garden Pack 'n Snack Backpack - Kids,25.99
Wildkin Olive Kids Heroes Sidekick Backpack - Kids,29.99
Wildkin Olive Kids Mermaid Pack 'n Snack Backpack - Kids,28.115
Wildkin Olive Kids Paisley Pack 'n Snack Backpack - Kids,28.05452
Wildkin Olive Kids Paisley Sidekick Backpack - Kids,29.74
"Wildkin Olive Kids Trains, Planes & Trucks Good Times Rolling Duffel Bag - Boys",72.99
"Wildkin Olive Kids Trains, Planes & Trucks Good Times Rolling Duffel Bag - Kids",72.99
Wildkin Olive Kids Wild Animals Pack 'n Snack Backpack - Kids,24.365
Wildkin Owl Kickstart Messenger Bag - Kids,36.99
Wildkin Owl Macropack Backpack - Kids,40.3025
Wildkin Owl Pack 'n Snack Backpack - Kids,29.99
Wildkin Owl Sidekick Backpack - Kids,34.99
Wildkin Peace Sign Kickstart Messenger Bag - Kids,33.66
Wildkin Peace Sign Pack 'n Snack Backpack - Kids,29.99
Wildkin Peace Sign Sidekick Backpack - Kids,29.74
Wildkin Retro Kickstart Messenger Bag - Kids,29.99
Wildkin Serious Backpack - Kids,61.53576
Wildkin Sidekick Backpack - Kids,31.96727
Wildkin Snake Crackerjack Backpack - Kids,36.99
Wildkin Snake Jumpstart Messenger Bag - Kids,36.99
Wildkin Snake Serious Backpack - Kids,67.99
