"prod_id","Unit_sales","L_unitsales","Review_all","search","SocialSignal_all","Backlinks_all","Std_Res","Std_Res_Dec","Cook_D"
"602069000",94,"1",134,8580,4,14,1.4856103482411,"NO",0.00559077767349475
"622382000",3,"0",0,2580,5,4,-0.590895655730216,"NO",0.000790006297434057
"602152000",33,"0",5,0,48,22,-0.608567109115856,"NO",0.00125018984587366
"632705000",113,"1",332,54840,0,5,1.32310190143187,"NO",0.0155391113871692
"662379000",7,"0",0,0,0,5,-0.592183528761942,"NO",0.000799861197236829
"604338000",49,"0",122,48220,39,14,-0.674887882551553,"NO",0.00112806653173161
"674231000",17,"0",0,10530,0,0,-0.592800936403186,"NO",0.000800419504780328
"666478000",0,"0",0,160,0,0,-0.583425195427878,"NO",0.000804761649425717
"679388000",44,"0",0,500,10,2,-0.583740328049926,"NO",0.000810773858152567
"601624000",1,"0",1,1250,0,0,-0.584635933303202,"NO",0.000801297553956849
"665443000",11,"0",0,3560,1,0,-0.586101217791907,"NO",0.000797417999111887
"637220000",30,"0",0,480,0,0,-0.583708551577288,"NO",0.000803711892161091
"664150000",632,"1",90,269020,226,57,1.11565958253285,"NO",0.0587058786855238
"650262000",13,"0",12,17770,12,0,-0.59816660182836,"NO",0.000823834788079531
"006CO79470312B",0,"0",0,4170,0,0,-0.587003073948781,"NO",0.000795699462338293
"679910000",2,"0",7,0,2,16,-0.614083109603996,"NO",0.000991420614351688
"624942000",3,"0",0,390,0,0,-0.583628820085051,"NO",0.000804001507989201
"621992000",1708,"1",131,123160,1,23,1.24426955538625,"NO",0.0237220259613482
"656136000",2,"0",3,0,11,2,-0.58368321949267,"NO",0.000814690349518943
"661089000",42,"0",11,0,1,0,-0.585623785686726,"NO",0.000807147611806052
"659573000",238,"1",374,110230,442,80,1.25543628120708,"NO",0.0204231517953613
"674805000",0,"0",0,13260,0,0,-0.595337287643106,"NO",0.000810066900109381
"648164000",45,"0",10,0,0,14,-0.611653691729892,"NO",0.000931827405109648
"661088000",17,"0",5,0,0,0,-0.584503869334637,"NO",0.000805083465950253
"648077000",287,"1",84,11460,111,18,1.59678944372168,"NO",0.00843861480350068
"679911000",6,"0",1,83780,0,0,-0.672956094378941,"NO",0.00342330964647147
"661243000",144,"1",73,23300,61,53,1.38547749246227,"NO",0.0146555768834109
"604334000",33,"0",92,260,165,24,-0.59545928695809,"NO",0.00225942608028091
"610391000",8,"0",2,49130,14,3,-0.631858559946551,"NO",0.00129472727842201
"679391000",12,"0",1,0,0,0,-0.583527248565198,"NO",0.000805202304067283
