prod_id,Unit_sales,L_unitsales,Review_all,search,SocialSignal_all,Backlinks_all,Std_Res,Std_Res_Dec,Cook_D
651693000,1993,1,1110,326130,1059,64,1.267636611,NO,0.226632785
625041000,19,0,9,10430,7,4,-0.599541495,NO,0.000772108
604341000,217,1,252,3270,143,62,1.369590019,NO,0.022586643
669947000,4,0,3,560,1,2,-0.587679741,NO,0.00079492
621085000,4,0,4,250,0,8,-0.5989132,NO,0.000819814
629368000,9,0,29,350,0,0,-0.590753795,NO,0.000813609
621901000,137,1,157,69400,43,13,1.379844412,NO,0.00762702
656134000,2,0,2,4370,10,0,-0.584152274,NO,0.000807921
605361000,24,0,12,820,1,7,-0.59919833,NO,0.000804001
648076000,111,1,4,3940,3,0,1.648526168,NO,0.006302857
621998000,3302,1,284,261650,247,70,0.994993409,NO,0.038246279
688352000,152,1,9,13480,9,5,1.601261329,NO,0.00543523
653610000,23,0,23,1300,2,6,-0.600179914,NO,0.000794892
656138000,12,0,3,7970,17,17,-0.616692171,NO,0.000951203
648235000,806,1,470,1880,272,9,1.622448031,NO,0.05215325
661959000,331,1,53,67230,62,40,1.350015135,NO,0.008812084
624707000,58,1,127,153840,169,39,1.239830802,NO,0.015416275
623010000,2260,1,0,11140,0,0,1.629733213,NO,0.006051358
