Product,Product_ID,Category,Reviews_Q1,Reviews_Q2,Reviews_Q3,Reviews_Q4,Sales_Units
42626406 - Nike Mens Hypervenom Phatal Premium FG Low Soccer Cleats,42626406,Cleats,0,2,5,0,5
42626416 - Nike Mens Hypervenom Phelon Premium FG Low Soccer Cleats,42626416,Cleats,0,6,5,6,21
43507026 - Nike Kids Jr. Bomba II Turf Soccer Cleats,43507026,Cleats,0,0,2,0,21
43874556 - adidas Mens 11Questra FG Low Soccer Cleats,43874556,Cleats,0,0,0,1,154
45486286 - adidas Boys Conquisto FG Low Soccer Cleats,45486286,Cleats,0,0,0,2,135
45596226 - Easton Mens Mako Low Baseball Cleats,45596226,Cleats,0,0,0,1,45
45759596 - Easton Boys Mako Low Baseball Cleats,45759596,Cleats,0,1,1,0,53
46469696 - adidas Womens Spider 4 Track Shoes,46469696,Cleats,0,0,0,1,3
46600206 - adidas Womens Predito Instinct FG Low Soccer Cleats,46600206,Cleats,0,2,5,7,17
46627556 - adidas Mens F10 FG Low Soccer Cleats,46627556,Cleats,0,0,1,1,31
46627576 - adidas Boys F5 FxG J Low Soccer Cleats,46627576,Cleats,0,0,0,1,47
46627596 - adidas Mens Predator Absolado Instinct FG Low Soccer Cleats,46627596,Cleats,0,8,1,5,53
46786266 - Under Armour Boys Lax Highlight RM Jr. Mid Lacrosse Cleats - Grade School,46786266,Cleats,0,0,0,5,3
11796818 - WILSON Mens Tour RX Complete Golf Set,11796818,Golf Complete Sets,1,0,1,0,12
12139766 - RAM Womens G-Force Complete Golf Set,12139766,Golf Complete Sets,2,1,5,1,14
12139768 - RAM Mens G-Force Left-Hand Golf Set,12139768,Golf Complete Sets,1,0,0,0,4
13066272 - TOMMY ARMOUR Mens Silver Scot Complete Golf Set,13066272,Golf Complete Sets,1,1,1,0,42
13066274 - TOMMY ARMOUR Womens Silver Scot Complete Golf Set,13066274,Golf Complete Sets,0,1,0,0,49
13335938 - TOMMY ARMOUR Mens Evo Complete Golf Set,13335938,Golf Complete Sets,2,0,0,0,27
21821456 - TOMMY ARMOUR Mens Axial Complete Golf Set - Right Hand,21821456,Golf Complete Sets,0,1,1,0,NA
21821476 - TOMMY ARMOUR Womens Axial Complete Graphite Golf Set,21821476,Golf Complete Sets,1,0,1,0,132
23874286 - NIKE Boys VRS 7-Piece Golf Set - Step 2,23874286,Golf Complete Sets,0,4,3,2,9
32651736 - WILSON Womens Tour RX Complete Golf Set,32651736,Golf Complete Sets,0,3,0,0,9
12315425 - Nike Mens Carolina Panthers Cam Newton Game Team Color Jersey ,12315425,NFL Apparel,1,0,2,1,NA
12315446 - NIKE Womens Cincinnati Bengals Andy Dalton Game Team Color Jersey,12315446,NFL Apparel,0,0,0,0,0
12315454 - Nike Womens New England Patriots Tom Brady Game Team Jersey,12315454,NFL Apparel,0,0,1,1,8
12315474 - NIKE Mens New York Giants Eli Manning Game White Jersey,12315474,NFL Apparel,0,0,2,1,0
12319255 - NIKE Mens Detroit Lions Ndamukong Suh Game Team Color Jersey,12319255,NFL Apparel,0,0,0,0,1
12319271 - NIKE Womens San Francisco 49ers Patrick Willis Game Team Color Jersey,12319271,NFL Apparel,0,0,0,0,1
12326543 - NIKE Womens Carolina Panthers Cam Newton Game Team Color Jersey,12326543,NFL Apparel,0,0,0,0,0
12667823 - Nike Youth San Francisco 49ers Frank Gore Game Team Jersey,12667823,NFL Apparel,0,0,0,3,3
12667824 - Nike Youth Green Bay Packers Aaron Rodgers Game Jersey,12667824,NFL Apparel,1,2,2,2,6
12667826 - Nike Youth New Orleans Saints Drew Brees Game Jersey,12667826,NFL Apparel,0,0,0,0,0
12667845 - Nike Youth Cincinnati Bengals Andy Dalton Game Jersey,12667845,NFL Apparel,0,0,0,0,0
12667864 - NIKE Youth New Orleans Saints Jimmy Graham Game Team Color Jersey,12667864,NFL Apparel,1,0,1,0,0
12667873 - NIKE Youth Denver Broncos Von Miller Game Team Color Jersey,12667873,NFL Apparel,0,0,0,0,0
12668805 - Nike Youth New York Giants Eli Manning Game Jersey,12668805,NFL Apparel,0,0,1,1,3
12789354 - Nike Mens Chicago Bears Jay Cutler Limited Game Jersey,12789354,NFL Apparel,0,0,1,0,1
12789373 - Nike Mens San Diego Chargers Philip Rivers Limited Game Jersey,12789373,NFL Apparel,0,0,1,1,0
12871832 - Nike Mens Denver Broncos Peyton Manning Limited Game Jersey,12871832,NFL Apparel,0,0,3,0,1
12894432 - NIKE Womens Denver Broncos Peyton Manning Game Team Color Jersey,12894432,NFL Apparel,0,2,3,0,4
12894434 - Nike Mens Denver Broncos Peyton Manning Game Team Color Jersey,12894434,NFL Apparel,0,1,4,1,12
12947749 - Nike Mens Denver Broncos Peyton Manning Game Alternate Jersey,12947749,NFL Apparel,0,0,2,1,5
12960971 - Nike Youth Indianapolis Colts Andrew Luck Game Team Jersey,12960971,NFL Apparel,0,0,2,0,0
13012509 - NIKE Mens New York Giants Jason Pierre-Paul Game Team Color Jersey,13012509,NFL Apparel,0,1,4,1,0
13219683 - NIKE Womens Tampa Bay Buccaneers Basic Logo Short-Sleeve T-Shirt,13219683,NFL Apparel,0,1,0,0,3
13249233 - Nike Womens Oakland Raiders Darren McFadden Game Team Jersey,13249233,NFL Apparel,0,0,0,0,1
16404946 - Nike Womens Kansas City Chiefs Jamaal Charles Game Team Jersey,16404946,NFL Apparel,0,0,0,0,0
16567106 - Nike Mens Cincinnati Bengals Andy Dalton Game Team Color Jersey ,16567106,NFL Apparel,0,0,1,0,0
16572976 - Nike Mens New Orleans Saints Drew Brees Game Team Color Jersey ,16572976,NFL Apparel,0,1,0,0,1
16601356 - Nike Youth Chicago Bears Brandon Marshall Game Jersey,16601356,NFL Apparel,0,0,0,0,0
16605686 - NIKE Youth Baltimore Ravens Haloti Ngata Game Team Color Jersey,16605686,NFL Apparel,0,0,0,0,0
16605706 - NIKE Youth Kansas City Chiefs Jamaal Charles Game Team Color Jersey,16605706,NFL Apparel,0,1,1,0,0
16607336 - NIKE Mens San Diego Chargers Antonio Gates Game Team Color Jersey,16607336,NFL Apparel,0,0,0,0,0
16608796 - NIKE Mens Houston Texans Andre Johnson Game Team Color Jersey,16608796,NFL Apparel,0,0,0,0,4
16610726 - Nike Mens Green Bay Packers Aaron Rodgers Game Team Color Jersey ,16610726,NFL Apparel,0,0,3,1,16
16643236 - Nike Mens Arizona Cardinals Larry Fitzgerald Game Team Color Jersey ,16643236,NFL Apparel,0,0,0,0,0
16920846 - Nike Mens New York Giants Eli Manning Game Team Color Jersey ,16920846,NFL Apparel,0,0,0,0,4
16921106 - NIKE Mens San Diego Chargers Philip Rivers Game Team Color Jersey,16921106,NFL Apparel,0,0,0,0,1
16921176 - NIKE Mens San Diego Chargers Ryan Mathews Game Team Color Jersey,16921176,NFL Apparel,0,1,0,0,2
16921646 - NIKE Mens Green Bay Packers Clay Matthews Game Team Color Jersey,16921646,NFL Apparel,0,1,0,0,2
16928486 - NIKE Mens Kansas City Chiefs Eric Berry Game Team Color Jersey,16928486,NFL Apparel,0,0,1,0,0
16932906 - NIKE Mens Green Bay Packers Aaron Rodgers Game White Jersey,16932906,NFL Apparel,0,0,0,0,0
16933846 - NIKE Womens Green Bay Packers Aaron Rodgers Game Team Color Jersey,16933846,NFL Apparel,0,0,1,1,8
17005956 - NIKE Womens Washington Redskins Robert Griffin III Game Team Color Jersey,17005956,NFL Apparel,0,0,0,1,0
17008536 - NIKE Womens Detroit Lions Calvin Johnson Game Team Color Jersey,17008536,NFL Apparel,0,0,0,0,0
17015956 - NIKE Mens New York Giants Victor Cruz Game Team Color Jersey,17015956,NFL Apparel,0,3,0,2,2
17015996 - Nike Mens Philadelphia Eagles LeSean McCoy Game Team Color Jersey ,17015996,NFL Apparel,0,0,0,0,0
17016186 - NIKE Mens Cincinnati Bengals AJ Green Game Team Color Jersey,17016186,NFL Apparel,0,0,0,0,1
17028786 - NIKE Mens Washington Redskins Robert Griffin III Game Team Color Jersey,17028786,NFL Apparel,0,0,0,3,2
17032466 - Nike Womens Indianapolis Colts Andrew Luck Game Team Jersey,17032466,NFL Apparel,0,0,1,1,0
17080046 - Nike Womens New Orleans Saints Drew Brees Game Team Jersey,17080046,NFL Apparel,0,0,0,0,0
17091216 - Nike Womens New England Patriots Rob Gronkowski Game Team Jersey,17091216,NFL Apparel,0,0,0,3,0
17091256 - NIKE Womens New York Jets Santonio Holmes Game Team Color Jersey,17091256,NFL Apparel,0,0,0,0,0
17288566 - Nike Womens Seattle Seahawks Russell Wilson Game Team Jersey,17288566,NFL Apparel,0,2,2,0,4
17442216 - Nike Mens Seattle Seahawks Marshawn Lynch Game White Jersey ,17442216,NFL Apparel,0,0,0,0,0
17442366 - NIKE Womens Tennessee Titans Script Tri-Blend T-Shirt,17442366,NFL Apparel,0,0,0,0,0
17589156 - NFL Team Apparel Youth New York Jets Mark Sanchez Race To The Top Short-Sleeve T-Shirt,17589156,NFL Apparel,0,0,1,0,0
17650196 - Antigua Mens San Francisco 49ers Elite Desert Dry Xtra-Lite Moisture Management Pique Pol,17650196,NFL Apparel,0,1,0,0,1
17650336 - Antigua Mens New York Giants Esteem Cotton/Polyester Box Pattern Yarn Dye Stripe Dress Sh,17650336,NFL Apparel,0,0,0,1,0
17650356 - Antigua Mens Green Bay Packers Esteem Cotton/Polyester Box Pattern Yarn Dye Stripe Dress,17650356,NFL Apparel,0,0,1,0,2
17650596 - Antigua Mens Chicago Bears Focus Cotton/Polyester Woven Mini Check Button Down Shirt,17650596,NFL Apparel,0,1,0,0,0
17650656 - Antigua Mens New England Patriots Focus Cotton/Polyester Woven Mini Check Button Down Shi,17650656,NFL Apparel,0,0,0,1,2
17650756 - Antigua Mens New England Patriots Pique Xtra LiteDesert Dry Moisture Management Polo,17650756,NFL Apparel,0,0,1,1,3
17651056 - Antigua Mens New England Patriots Exceed Desert Dry Xtra Lite Moisture Management White P ,17651056,NFL Apparel,3,3,0,1,1
17673286 - Antigua Womens Green Bay Packers Spark 100% Cotton Washed Jersey 6 Button Polo,17673286,NFL Apparel,0,0,1,1,0
17674706 - Nike Womens Atlanta Falcons Julio Jones Game Jersey,17674706,NFL Apparel,0,0,0,0,0
17716536 - Antigua Womens Chicago Bears Elite Desert Dry Xtra-Lite Moisture Management Pique Polo,17716536,NFL Apparel,0,1,0,0,0
17791556 - Antigua Mens Pittsburgh Steelers Esteem Cotton/Polyester Box Pattern Yarn Dye Stripe Dress Shirt ,17791556,NFL Apparel,0,0,1,0,0
17881166 - Nike Mens Chicago Bears Brandon Marshall Game White Jersey ,17881166,NFL Apparel,0,0,0,0,0
18030046 - Nike Mens Pittsburgh Steelers Troy Polamalu Limited Game Jersey,18030046,NFL Apparel,0,0,0,0,0
18030066 - Nike Mens Atlanta Falcons Julio Jones Limited Game Jersey,18030066,NFL Apparel,0,0,0,1,1
18082226 - Nike Youth Baltimore Ravens Torrey Smith Game Team Jersey,18082226,NFL Apparel,0,0,0,0,1
18167376 - Nike Mens Baltimore Ravens Terrell Suggs Game Team Jersey,18167376,NFL Apparel,0,0,1,0,1
18167446 - Nike Mens New York Giants Eli Manning Elite On Field Jersey,18167446,NFL Apparel,0,0,0,2,1
18168736 - Nike Mens Houston Texans J.J. Watt Game Jersey,18168736,NFL Apparel,0,0,1,0,7
18213096 - Nike Mens Washington Redskins Alfred Morris Game Team Color Jersey ,18213096,NFL Apparel,0,0,1,0,0
18229866 - NIKE Womens Cincinnati Bengals A.J. Green Game Team Color Jersey,18229866,NFL Apparel,0,0,0,1,0
18489196 - Antigua Womens Arizona Cardinals Spark 100% Cotton Washed Jersey 6 Button Polo,18489196,NFL Apparel,0,1,2,0,0
18489336 - Antigua Womens Detroit Lions Spark 100% Cotton Washed Jersey 6 Button White Polo,18489336,NFL Apparel,0,0,1,1,0
18489406 - Antigua Womens St. Louis Rams Spark 100% Cotton Washed Jersey 6 Button Polo,18489406,NFL Apparel,0,0,1,1,0
18489456 - Antigua Womens Seattle Seahawks Spark 100% Cotton Washed Jersey 6 Button Polo,18489456,NFL Apparel,0,0,0,1,0
18489506 - Antigua Womens Tennessee Titans Spark 100% Cotton Washed Jersey 6 Button White Polo,18489506,NFL Apparel,0,1,1,0,0
18577766 - Nike Mens Indianapolis Colts Andrew Luck Elite On Field Jersey,18577766,NFL Apparel,0,0,2,0,0
18577796 - Nike Mens Pittsburgh Steelers Ben Roethlisberger Elite On Field Jersey,18577796,NFL Apparel,0,0,0,1,1
18590256 - Nike Youth Pittsburgh Steelers Ben Roethlisberger Game Team Jersey - Ages 4-7,18590256,NFL Apparel,0,0,2,0,0
18595126 - Antigua Mens Buffalo Bills Exceed Desert Dry Xtra Lite Moisture Management White Pique Polo ,18595126,NFL Apparel,0,1,0,0,0
18615746 - Antigua Mens Kansas City Chiefs Esteem Cotton/Polyester Box Pattern Yarn Dye Stripe Dress Shirt ,18615746,NFL Apparel,0,0,1,0,0
18615756 - Antigua Mens San Diego Chargers Esteem Cotton/Polyester Box Pattern Yarn Dye Stripe Dress Shirt ,18615756,NFL Apparel,0,1,0,0,0
18615766 - Antigua Mens Arizona Cardinals Esteem Cotton/Polyester Box Pattern Yarn Dye Stripe Dress,18615766,NFL Apparel,0,0,0,1,0
18631056 - Antigua Mens Atlanta Falcons Esteem Cotton/Polyester Box Pattern Yarn Dye Stripe Dress Shirt ,18631056,NFL Apparel,0,0,1,0,0
18659546 - Antigua Mens St. Louis Rams Elite Desert Dry Xtra-Lite Moisture Management Pique Polo,18659546,NFL Apparel,1,0,0,0,0
18659726 - Antigua Mens Seattle Seahawks Pique Xtra Lite Desert Dry Moisture Management Polo,18659726,NFL Apparel,0,1,0,0,1
18681366 - Nike Mens San Francisco 49ers Colin Kaepernick Game Team Jersey,18681366,NFL Apparel,0,0,2,2,1
18681406 - Nike Womens San Francisco 49ers Colin Kaepernick Game Team Jersey,18681406,NFL Apparel,1,0,0,0,5
19629436 - Nike Mens Seattle Seahawks Earl Thomas III Game Team Jersey ,19629436,NFL Apparel,0,1,0,0,0
19966686 - Nike Mens Miami Dolphins Ryan Tannehill Game Team Jersey ,19966686,NFL Apparel,0,0,0,0,10
20141926 - Nike Mens Jacksonville Jaguars Maurice Jones-Drew Game Team Jersey ,20141926,NFL Apparel,0,0,0,0,0
20463736 - Nike Youth Detroit Lions Reggie Bush Game Team Jersey,20463736,NFL Apparel,0,0,2,0,0
20573546 - Nike Womens San Francisco 49ers Colin Kaepernick Game White Jersey ,20573546,NFL Apparel,1,0,0,0,0
20721796 - NFL Team Apparel Youth San Diego Chargers Reflection Short-Sleeve T-Shirt,20721796,NFL Apparel,0,0,1,0,0
20744946 - Nike Mens San Francisco 49ers Colin Kaepernick Game White Jersey ,20744946,NFL Apparel,0,0,0,0,0
21400156 - Nike Mens Buffalo Bills E.J. Manuel Game Team Jersey,21400156,NFL Apparel,0,0,1,0,0
21400166 - Nike Mens St. Louis Rams Tavon Austin Game Team Jersey,21400166,NFL Apparel,0,0,0,0,0
22172396 - STARTER Mens Chicago Bears Team Color 2013 Satin Starter Jacket,22172396,NFL Apparel,0,0,0,1,16
22172456 - STARTER Mens New York Giants Team Color 2013 Satin Starter Jacket,22172456,NFL Apparel,0,0,1,0,35
22388216 - Nike Mens Atlanta Falcons Steven Jackson Game Team Jersey ,22388216,NFL Apparel,0,0,0,0,0
24192396 - Nike Mens Arizona Cardinals Carson Palmer Game Team Jersey,24192396,NFL Apparel,0,0,1,0,0
24495186 - Nike Mens Miami Dolphins Mike Wallace Game White Jersey,24495186,NFL Apparel,0,0,0,0,2
24944576 - NIKE Mens Chicago Bears Dri-FIT Hypercool Speed Short-Sleeve T-Shirt,24944576,NFL Apparel,0,0,0,0,1
24944726 - NIKE Mens San Francisco 49ers Dri-FIT Hypercool Speed Short-Sleeve T-Shirt,24944726,NFL Apparel,0,0,0,0,1
24944846 - NIKE Mens Seattle Seahawks Dri-FIT Legend Icon Short-Sleeve T-Shirt,24944846,NFL Apparel,0,0,0,0,4
24945196 - NIKE Womens Denver Broncos Dri-FIT Legend Logo V-Neck Short-Sleeve T-Shirt,24945196,NFL Apparel,0,0,0,1,4
24945306 - NIKE Womens Pittsburgh Steelers Dri-FIT Legend Logo V-Neck Short-Sleeve T-Shirt,24945306,NFL Apparel,0,0,2,0,1
24945356 - NIKE Womens Washington Redskins Dri-FIT Legend Logo V-Neck Short-Sleeve T-Shirt,24945356,NFL Apparel,0,0,2,0,0
24945436 - NIKE Mens Chicago Bears Legend Just Do It Dri-FIT Short-Sleeve T-Shirt,24945436,NFL Apparel,0,0,0,0,3
24980136 - NIKE Womens New Orleans Saints Dri-FIT Legend Logo V-Neck Short-Sleeve T-Shirt,24980136,NFL Apparel,0,0,0,0,0
25009596 - NIKE Womens New York Jets Fan Top V-Neck Short-Sleeve T-Shirt,25009596,NFL Apparel,0,0,0,0,0
25009696 - NIKE Womens Kansas City Chiefs Fan Top V-Neck Short-Sleeve T-Shirt,25009696,NFL Apparel,0,0,0,0,2
25010456 - NIKE Mens San Francisco 49ers Dri-FIT Preseason Polo,25010456,NFL Apparel,0,0,0,1,1
28880336 - Nike Mens New York Jets Muhammad Wilkerson Game Team Jersey,28880336,NFL Apparel,0,0,0,0,0
29394326 - NIKE Womens Chicago Bears V-Neck Short-Sleeve Fan Top,29394326,NFL Apparel,0,0,1,0,1
29394356 - NIKE Womens Denver Broncos V-Neck Fan Top,29394356,NFL Apparel,0,0,0,0,1
29394436 - NIKE Womens Philadelphia Eagles V-Neck Fan Top,29394436,NFL Apparel,0,0,0,0,0
29431656 - NIKE Womens New Orleans Saints V-Neck Fan Top ,29431656,NFL Apparel,0,0,0,0,0
29432476 - NIKE Womens Philadelphia Eagles Upkilter Tri-Blend V-Neck Short-Sleeve T-Shirt,29432476,NFL Apparel,0,0,1,1,0
29432546 - NIKE Womens Carolina Panthers Upkilter Tri-Blend V-Neck Short-Sleeve T-Shirt,29432546,NFL Apparel,0,0,0,0,0
29432556 - NIKE Womens New England Patriots Upkilter Tri-Blend V-Neck Short-Sleeve T-Shirt,29432556,NFL Apparel,0,0,0,0,2
29432646 - NIKE Womens Minnesota Vikings Upkilter Tri-Blend V-Neck Short-Sleeve T-Shirt,29432646,NFL Apparel,0,0,0,0,0
29432676 - NIKE Womens San Francisco 49ers Take It Long Long-Sleeve Top,29432676,NFL Apparel,0,0,0,0,0
29432846 - NIKE Womens Detriot Lions Take It Long Long-Sleeve Top,29432846,NFL Apparel,0,0,1,0,0
29432916 - NIKE Womens New Orleans Saints Take It Long Long-Sleeve Top,29432916,NFL Apparel,0,0,0,0,0
29432966 - NIKE Womens San Francisco 49ers Rewind Script V-Neck Long-Sleeve T-Shirt,29432966,NFL Apparel,0,0,1,0,1
29433356 - NIKE Womens Denver Broncos Tri-Blend Raglan T-Shirt,29433356,NFL Apparel,0,0,1,0,0
29433396 - NIKE Womens New York Giants Tri-Blend Raglan T-Shirt,29433396,NFL Apparel,0,0,1,0,0
29433576 - NIKE Womens Chicago Bears Breast Cancer Awareness Tri-Blend Raglan Top,29433576,NFL Apparel,0,0,0,0,0
29433716 - NIKE Womens New York Giants Breast Cancer Awareness Tri-Blend Raglan Top,29433716,NFL Apparel,0,0,0,0,0
29531556 - Nike Womens Baltimore Ravens Rewind Rally Funnel Hoodie,29531556,NFL Apparel,0,0,0,0,NA
29532016 - Nike Mens Arizona Cardinals Legend Icon Dri-FIT Short-Sleeve T-Shirt ,29532016,NFL Apparel,0,0,0,0,1
29532086 - NIKE Mens New York Jets Legend Icon Dri-FIT Short-Sleeve T-Shirt,29532086,NFL Apparel,0,0,0,0,1
29532266 - NIKE Mens Chicago Bears Legend Jock Tag Dri-FIT Short-Sleeve T-Shirt,29532266,NFL Apparel,0,0,0,0,4
29532456 - NIKE Mens New England Patriots Legend Jock Tag Dri-FIT Short-Sleeve T-Shirt,29532456,NFL Apparel,0,0,1,0,3
29562316 - NIKE Mens Baltimore Ravens Legend Warp Speed Dri-FIT Short-Sleeve T-Shirt,29562316,NFL Apparel,0,1,0,0,0
29562416 - NIKE Mens Kansas City Chiefs Legend Warp Speed Dri-FIT Short-Sleeve T-Shirt,29562416,NFL Apparel,0,0,0,0,0
29562556 - NIKE Mens Washington Redskins Legend Warp Speed Dri-FIT Short-Sleeve T-Shirt,29562556,NFL Apparel,0,0,0,0,0
29562666 - NIKE Mens Chicago Bears Practice Legend Short-Sleeve T-Shirt,29562666,NFL Apparel,0,0,0,0,0
29562756 - NIKE Mens Indianapolis Colts Practice Legend Dri-FIT Short-Sleeve T-Shirt,29562756,NFL Apparel,0,0,0,0,1
29562956 - NIKE Mens Baltimore Ravens Denver Broncos Ticket Logo Long-Sleeve T-Shirt,29562956,NFL Apparel,0,0,0,0,0
29563176 - NIKE Mens Cincinnati Bengals Retro Logo Short-Sleeve T-Shirt,29563176,NFL Apparel,0,0,0,0,2
29563606 - NIKE Mens Philadelphia Eagles Dri-FIT Staff Polo,29563606,NFL Apparel,0,0,1,0,0
29563886 - NIKE Mens Baltimore Ravens Tri-Blend Big Play Raglan Short-Sleeve T-Shirt,29563886,NFL Apparel,0,1,0,0,1
29563936 - NIKE Mens Cincinnati Bengals Tri-Blend Big Play Raglan Short-Sleeve T-Shirt,29563936,NFL Apparel,0,0,0,0,1
29564236 - Nike Mens Denver Broncos Rewind Football Short-Sleeve T-Shirt,29564236,NFL Apparel,0,0,0,0,1
29564276 - NIKE Mens New York Giants Rewind Footbal Short-Sleeve T-Shirt,29564276,NFL Apparel,0,0,0,0,0
29564376 - NIKE Mens Houston Texans Rewind Footbal Short-Sleeve T-Shirt,29564376,NFL Apparel,0,0,0,1,0
29598156 - NIKE Mens Minnesota Vikings Warp Speed Dri-FIT Full-Zip Jacket,29598156,NFL Apparel,0,0,1,0,0
29632116 - NIKE Mens Houston Texans Speed Logo Therma-FIT KO Performance Pants,29632116,NFL Apparel,0,0,1,0,0
29632206 - NIKE Mens Cincinnati Bengals Rewind Lock Up Short-Sleeve T-Shirt,29632206,NFL Apparel,0,0,0,0,0
29671696 - NIKE Mens San Francisco 49ers Club Rewind Pullover Hoody,29671696,NFL Apparel,0,0,0,0,3
29671726 - Nike Mens Tampa Bay Buccaneers Club Rewind Pullover Hoodie,29671726,NFL Apparel,0,1,0,0,0
29671756 - NIKE Mens Kansas City Chiefs Club Rewind Pullover Hoody,29671756,NFL Apparel,0,0,0,0,0
29829486 - NIKE Womens Indianapolis Colts Andrew Luck Starters Only Name And Number T-Shirt,29829486,NFL Apparel,0,0,0,0,1
29829576 - NIKE Womens Pittsburgh Steelers Troy Polamalu Starters Only Name And Number T-Shirt,29829576,NFL Apparel,0,0,0,0,1
29829656 - NIKE Womens Atlanta Falcons Matt Ryan Starters Only Name And Number T-Shirt,29829656,NFL Apparel,0,0,0,0,0
29829686 - Nike Mens Baltimore Ravens Haloti Ngata Game Team Jersey,29829686,NFL Apparel,0,0,0,0,3
29880646 - Nike Mens Indianapolis Colts Robert Mathis Game Team Jersey,29880646,NFL Apparel,0,0,0,0,0
29880656 - Nike Mens Green Bay Packers Eddie Lacy Game Team Jersey,29880656,NFL Apparel,0,0,0,0,1
29880776 - NIKE Womens Kansas City Chiefs Rewind Rally Funnel Hoody,29880776,NFL Apparel,0,0,0,0,0
29880856 - NIKE Womens Detriot Lions Rewind Rally Funnel Hoody,29880856,NFL Apparel,0,0,0,0,0
29928346 - Nike Mens Denver Broncos Wes Welker Game Alternate Jersey,29928346,NFL Apparel,0,0,0,0,0
29928446 - Nike Womens New Orleans Saints Jimmy Graham Game Team Jersey,29928446,NFL Apparel,0,0,0,0,0
30876076 - Nike Mens Baltimore Ravens Torrey Smith Game Team Jersey,30876076,NFL Apparel,0,0,0,1,0
31442676 - Nike Mens San Francisco 49ers Michael Crabtree Game Team Jersey,31442676,NFL Apparel,0,0,0,0,1
32799066 - Antigua Miami Dolphins Mens Icon Polo,32799066,NFL Apparel,0,1,0,0,8
32799566 - Antigua Minnesota Vikings Mens Icon Polo,32799566,NFL Apparel,0,0,1,0,2
33801546 - NFL Team Apperal Youth Tampa Bay Buccaneers Primary Logo Short-Sleeve T-Shirt,33801546,NFL Apparel,0,0,1,0,0
33932496 - NIKE Mens Tampa Bay Buccaneers Legend Icon Short-Sleeve T-Shirt,33932496,NFL Apparel,0,0,0,0,3
34443296 - Nike Mens Denver Broncos DeMarcus Ware Game Team Jersey,34443296,NFL Apparel,0,2,0,0,0
34443316 - Nike Mens New York Jets Eric Decker Game Team Jersey,34443316,NFL Apparel,1,0,0,0,3
34450386 - Nike Youth Denver Broncos DeMarcus Ware Game Team Jersey,34450386,NFL Apparel,0,0,0,0,0
34467096 - Nike Mens Tampa Bay Buccaneers Vincent Jackson Game Team Jersey,34467096,NFL Apparel,1,0,0,0,1
34576166 - Nike Mens San Francisco 49ers Colin Kaepernick Limited Salute To Service Game Jersey,34576166,NFL Apparel,0,0,1,1,1
34576216 - Nike Mens New Orleans Saints Drew Brees Limited Salute To Service Game Jersey,34576216,NFL Apparel,0,0,0,1,1
34936766 - NFL Team Apparel Youth Houston Texans Shatter Mark Team Color T-Shirt,34936766,NFL Apparel,0,1,0,0,0
35155956 - NFL Team Apparel New Orleans Saints Shatter Mark T-Shirt,35155956,NFL Apparel,0,0,1,0,0
35242566 - NFL Team Apparel Youth Philadelphia Eagles Flex Performance Pullover Hoodie,35242566,NFL Apparel,0,0,1,0,1
35419586 - NFL Team Apparel Infant Girls Green Bay Packers Dazzled Bodysuit,35419586,NFL Apparel,0,1,0,0,0
35420076 - G-III Womens New York Giants Playclock Hoodie,35420076,NFL Apparel,0,0,0,1,1
35420106 - G-III Womens San Francisco 49ers Franchise Pants,35420106,NFL Apparel,0,0,1,0,1
35661386 - Touch By Alyssa Milano Womens Seattle Seahawks Morgan Short-Sleeve T-Shirt,35661386,NFL Apparel,0,0,0,0,4
35661526 - Touch By Alyssa Milano Womens Detroit Lions Morgan T-Shirt,35661526,NFL Apparel,0,0,0,0,0
35691066 - G-III Womens Cincinnati Bengals Scout Short-Sleeve T-Shirt,35691066,NFL Apparel,1,0,0,0,1
35691286 - G-III Womens Pittsburgh Steelers Home Game Tank,35691286,NFL Apparel,0,0,0,0,0
37677706 - NIKE Mens Cleveland Browns Johnny Manziel Johnny Football Short-Sleeve T-Shirt,37677706,NFL Apparel,2,0,0,0,0
37777526 - Nike Mens Houston Texans Jadeveon Clowney Game Team Jersey,37777526,NFL Apparel,1,0,0,0,0
37777536 - Nike Mens Jacksonville Jaguars Blake Bortles Game Team Jersey,37777536,NFL Apparel,0,0,0,0,2
37834406 - Nike Mens St. Louis Rams Michael Sam Game Team Jersey ,37834406,NFL Apparel,0,0,0,0,0
37976296 - Nike Youth Cleveland Browns Johnny Manziel Game Team Jersey,37976296,NFL Apparel,0,0,0,0,0
41815976 - Nike Womens Washington Redskins DeSean Jackson Game Team Jersey,41815976,NFL Apparel,0,0,0,0,0
42405896 - COLLEGE CONCEPTS INC. Mens Pittsburgh Steelers Insider Pants,42405896,NFL Apparel,0,0,1,0,0
42405906 - COLLEGE CONCEPTS INC. Mens Minnesota Vikings Insider Pants,42405906,NFL Apparel,0,0,1,0,0
42405936 - COLLEGE CONCEPTS INC. Mens Houston Texans Insider Pants,42405936,NFL Apparel,0,0,0,1,0
42406056 - College Concepts Mens Green Bay Packers Ramble Pants,42406056,NFL Apparel,0,0,1,0,1
42406066 - College Concepts Mens New England Patriots Ramble Pants,42406066,NFL Apparel,0,0,1,1,0
43202706 - Nike Mens Philadelphia Eagles Jeremy Maclin Game Team Jersey ,43202706,NFL Apparel,0,0,0,0,0
43202716 - Nike Mens Philadelphia Eagles Nick Foles Game Alternate Jersey,43202716,NFL Apparel,0,0,0,0,0
