Product,Product_ID,Category,Reviews_Q1,Reviews_Q2,Reviews_Q3,Reviews_Q4,Sales_Units
20690196 - DEMARINI 2014 Voodoo Paradox Senior League Baseball Bat (-9),20690196,Baseball Bat,26,5,3,1,18
20690226 - DEMARINI 2014 Voodoo Paradox Youth Baseball Bat (-13),20690226,Baseball Bat,29,15,6,5,98
20722666 - DEMARINI CF6 Youth Fastpitch Softball Bat (-11) 2014,20722666,Baseball Bat,26,27,18,7,107
22170766 - EASTON 2014 S500 Speed Brigade Adult Baseball Bat (-3 BBCOR),22170766,Baseball Bat,6,4,1,2,29
23478536 - EASTON S1 Youth Baseball Bat (-12) 2014,23478536,Baseball Bat,53,38,2,4,151
23646246 - WORTH 2014 Storm HyperLite Adult Fastpitch Softball Bat (-13),23646246,Baseball Bat,15,7,0,1,13
23646256 - WORTH Eclipse Youth Fastpitch Softball Bat (-12),23646256,Baseball Bat,1,0,0,0,7
23697676 - RAWLINGS 2014 5150 Adult Baseball Bat (-3 BBCOR),23697676,Baseball Bat,21,20,16,5,19
23697696 - WORTH 2014 Prodigy Senior League Baseball Bat (-10),23697696,Baseball Bat,8,0,1,0,2
23775056 - EASTON S1 Adult BBCOR Baseball Bat (-3) 2014,23775056,Baseball Bat,3,1,2,0,1
23775076 - EASTON S2 Adult BBCOR Baseball Bat (-3) 2014,23775076,Baseball Bat,11,4,4,1,22
23775096 - EASTON Mako Senior League Baseball Bat (-10),23775096,Baseball Bat,20,13,9,9,4
23775106 - EASTON S3 Senior League Baseball Bat (-10),23775106,Baseball Bat,7,2,1,1,7
23822686 - EASTON 2014 S50 Speed Brigade Youth Baseball Bat (-10),23822686,Baseball Bat,13,16,16,13,64
23822696 - EASTON 2014 S300 Youth Baseball Bat (-12),23822696,Baseball Bat,54,17,7,10,32
23822706 - EASTON 2014 FS300 Speed Brigade Adult Fastpitch Softball Bat (-11),23822706,Baseball Bat,18,10,5,3,5
23878796 - EASTON 2014 Mako Power Brigade Youth Tee Ball Bat (-13),23878796,Baseball Bat,11,4,4,1,8
23878806 - EASTON S500 Youth Baseball Bat (-13),23878806,Baseball Bat,32,21,18,24,124
23878866 - EASTON 2014 XL3 Senior League Baseball Bat (-5),23878866,Baseball Bat,5,3,3,0,8
23902026 - EASTON 2014 S50 Adult Slowpitch Softball Bat,23902026,Baseball Bat,5,4,6,2,28
23933256 - EASTON 2014 FS200 Speed Brigade Adult Fastpitch Softball Bat (-10),23933256,Baseball Bat,11,12,6,1,9
23933266 - EASTON 2014 FS500 Speed Brigade Adult Fastpitch Softball Bat (-13),23933266,Baseball Bat,5,4,1,2,10
23933676 - DEMARINI Uprising Youth Fastpitch Softball Bat (-12) 2014,23933676,Baseball Bat,1,0,3,0,26
23934386 - DEMARINI 2014 Uprising Youth Baseball Bat (-12),23934386,Baseball Bat,8,4,2,2,26
23934406 - DEMARINI CF6 Youth Baseball Bat (-11) 2014,23934406,Baseball Bat,1,0,0,0,5
23934426 - DEMARINI CF6 Adult BBCOR Baseball Bat (-3) 2014,23934426,Baseball Bat,10,3,1,2,23
24173296 - WORTH 2014 Warpath Adult Slowpitch Softball Bat,24173296,Baseball Bat,1,0,0,0,37
24520556 - DEMARINI Ultimate Weapon Adult Slowpitch Softball Bat 2014,24520556,Baseball Bat,8,11,3,0,8
24522026 - LOUISVILLE SLUGGER Attack Youth Tee Ball Bat (-13.5) 2014,24522026,Baseball Bat,1,2,0,0,7
24522056 - LOUISVILLE SLUGGER 180 Ash Adult Wood Baseball Bat 2014,24522056,Baseball Bat,1,1,0,0,7
