UgamID,Category_Path,Retailer,Division,Category,Department,Class,Subclass,Product_URL,Brand,Product_Name,Unique_Pdt_Identifier_Mainpdt,Unique_Product_Identifier_Variant,Final_Price_after_Discount,Extraction_Date,Review_Link,Review_Header,Review_Creation_Date,Review_From,Review_By,Review_Helpful_Votes,Review_Total_Votes,Review_Rating_Score,Review_Rating_Scale,Review_Reviewers_Badges,Review_Text,Review_Count_Of_Comments,Review_Verified_Purchase,Reviewer_Age,Reviewer_Gender,Review_Count,Product_reviews
LGKR0090,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1309444/rockland-luggage-4-pc-luggage-set.jsp,n/a,n/a,1309444,1309444,0,12/2/2013 18:47,http://reviews.kohls.com/9025/1309444/reviews.htm?format=embedded,Very bold design,5/31/2013,Southern California,ElephantLover,0,0,4,5,n/a,I bought this set because of the design. You can spot these across the room! They are big and durable. Very roomy. We love them!,n/a,n/a,35-44,n/a,1,1
LGKR0100,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1309464/rockland-4-pc-luggage-set.jsp,Rockland,"Rockland Luggage, 4-pc. Luggage Set",1309464,1309464,167.99,12/2/2013 18:48,http://reviews.kohls.com/9025/1309464/reviews.htm?format=embedded,n/a,6/29/2013,"Bastrop, TEXAS",poppie1003,0,0,5,5,n/a,"Love this luggage. Bought the set for my granddaughter for our upcoming vacation. I am giving her 2 piece now and saving the other 2 for Christmas. Beautiful, large inside and trendy outside... she won't have any trouble finding her luggage at the luggage terminal. Super- quick shipping! Very pleased.",n/a,n/a,55-65,n/a,1,1
LGKR0131,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1309810/rockland-wheeled-duffel-bag.jsp,Rockland,"Rockland Luggage, Wheeled Duffel Bag",1309810,1309810,53.99,12/2/2013 18:49,http://reviews.kohls.com/9025/1309810/reviews.htm?format=embedded,n/a,3/9/2013,n/a,Tidel,1,2,5,5,n/a,n/a,n/a,n/a,45-54,n/a,1,1
LGKR0139,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1309857/rockland-zebra-duffel-bag.jsp?pfx=pfx_shopcompare&cid=shopping7&mr:referralID=fb0a39f9-c467-11e2-a969-001b2166c2c0,Rockland,Rockland Zebra Duffel Bag,1309857,1309857,23.99,12/2/2013 18:49,http://reviews.kohls.com/9025/1309857/reviews.htm?format=embedded,Bought for teen,3/7/2013,firsttimereviewer,firsttimereviewer,0,0,5,5,n/a,My granddaughter really likes this bag. It is compact but efficient with several pockets. For her it could have been a little bigger but I can see how this size bag would be a great carryon when flying.,n/a,n/a,55-65,n/a,1,1
LGKR0138,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1309857/rockland-zebra-duffel-bag.jsp,Rockland,Rockland Zebra Duffel Bag,1309857,1309857,23.99,12/2/2013 18:49,http://reviews.kohls.com/9025/1309857/reviews.htm?format=embedded,Bought for teen,3/7/2013,firsttimereviewer,firsttimereviewer,0,0,5,5,n/a,My granddaughter really likes this bag. It is compact but efficient with several pockets. For her it could have been a little bigger but I can see how this size bag would be a great carryon when flying.,n/a,n/a,55-65,n/a,1,1
LGKR0145,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1309927/rockland-pearl-20-in-hardside-spinner-carry-on.jsp?searchTerm=Rockland%20Hard-Sided%20Carry%20On%20Bag%20-%20Purple%20Pearl%2020,Rockland,"Rockland Luggage, Pearl 20-in. Hardside Spinner Carry-On",1309927,1309927,111.99,12/2/2013 18:49,http://reviews.kohls.com/9025/1309927/reviews.htm?format=embedded,Bought as gift for Mother,10/16/2013,Tucson,SG70,0,0,4,5,n/a,I bought this as a gift for my 85-year young mother's birthday. She got a lot of compliments on it - color etc. during a recent trip when it was her carryon luggage. She loves the spinner as it's easy for her to roll about.,n/a,n/a,55-65,n/a,1,1
LGKR0158,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-489427/mcklein-bucktown-leather-briefcase.jsp,McKlein,McKlein Bucktown Leather Briefcase,489427,489427,224.99,12/2/2013 18:49,http://reviews.kohls.com/9025/489427/reviews.htm?format=embedded,Great look and features inside,5/13/2013,"Palm Desert, CA",Linnien,0,0,5,5,n/a,Very classy briefcase. Looks professional but not overstated.Lots of room for a laptop and everything you need.,n/a,n/a,55-65,n/a,1,1
LGKR0164,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-489605/mcklein-lasalle-wheeled-laptop-overnight-bag.jsp,McKlein,"McKlein Luggage, LaSalle Wheeled Laptop Overnight Bag",489605,489605,309.99,12/2/2013 18:50,http://reviews.kohls.com/9025/489605/reviews.htm?format=embedded,Very pleased for the price,6/16/2011,Florida,meeses,0,0,5,5,n/a,Very nice bag that has plenty of room and storage for at least a couple days worth of clothes. Nice leather and style. I'm very pleased.,n/a,n/a,25-34,n/a,1,1
LGKR0165,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-489608/mcklein-lexington-briefcase.jsp,McKlein,McKlein Lexington Briefcase,489608,489608,199.99,12/2/2013 18:50,http://reviews.kohls.com/9025/489608/reviews.htm?format=embedded,"Great briefcase, different color",12/5/2011,n/a,BlueMoon7484,0,0,4,5,n/a,"I think it's a great briefcase, and I will be giving it as a Christmas gift. However, it came in black, not dark brown as the site said. I am personally OK with this because I was ""settling"" for dark brown, and had really wanted it to be black. However, this may be an issue for some shoppers!",n/a,n/a,n/a,n/a,1,1
LGKR0156,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-392649/belle-hop-comfort-neck-pillow.jsp?crosssell=true,Belle Hop,Belle Hop Comfort Neck Pillow,392649,392649,13.59,12/2/2013 18:49,http://reviews.kohls.com/9025/392649/reviews.htm?format=embedded,n/a,1/15/2012,n/a,floridateacher,0,0,4,5,n/a,n/a,n/a,n/a,55-65,n/a,1,1
