UgamID,Category_Path,Retailer,Division,Category,Department,Class,Subclass,Product_URL,Brand,Product_Name,Unique_Product_Identifier_Mainpdt,Unique_Product_Identifier_Variant,Final_Price_after_Discount,Extraction_Date,URL_of_the_Image,UGC,Notes,Alt_Tag
LGKI0189,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1130263/wildkin-kickstart-messenger-bag-kids.jsp,Wildkin,Wildkin Kickstart Messenger Bag - Kids,1130263,T1130263_Cardinal Red,34.99,2013-12-02 19:33,http://media.kohls.com.edgesuite.net/is/image/kohls/1130263_Cardinal_Red?&scl=3,n/a,n/a,n/a
LGKI0022,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1130487/wildkin-camo-serious-backpack-kids.jsp?searchTerm=Wildkin%20Camo%20Serious%20Backpack,Wildkin,Wildkin Camo Serious Backpack - Kids,1130487,1130487,67.99,2013-12-02 19:33,http://media.kohls.com.edgesuite.net/is/image/kohls/1130487?wid=1000&hei=1000&op_sharpen=1,n/a,n/a,n/a
LGKI0023,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1130488/wildkin-leopard-serious-backpack-kids.jsp?searchTerm=Wildkin%20Leopard%20Serious%20Backpack,Wildkin,Wildkin Leopard Serious Backpack - Kids,1130488,1130488,67.99,2013-12-02 19:33,http://media.kohls.com.edgesuite.net/is/image/kohls/1130488?wid=1000&hei=1000&op_sharpen=1,n/a,n/a,n/a
LGKI0192,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1130490/wildkin-snake-serious-backpack-kids.jsp,Wildkin,Wildkin Snake Serious Backpack - Kids,1130490,1130490,67.99,2013-12-02 19:33,http://media.kohls.com.edgesuite.net/is/image/kohls/1130490?wid=1000&hei=1000&op_sharpen=1,n/a,n/a,n/a
LGKI0024,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1130492/wildkin-serious-backpack-kids.jsp,Wildkin,Wildkin Serious Backpack - Kids,1130492,T1130492_Cardinal Red,67.99,2013-12-02 19:33,http://media.kohls.com.edgesuite.net/is/image/kohls/1130492_Cardinal_Red?&scl=3,n/a,n/a,n/a
LGKI0198,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1130508/wildkin-leopard-jumpstart-messenger-bag-kids.jsp?searchTerm=Wildkin%20Leopard%20Messenger%20Backpack%20-%20Pink,Wildkin,Wildkin Leopard Jumpstart Messenger Bag - Kids,1130508,1130508,36.99,2013-12-02 19:33,http://media.kohls.com.edgesuite.net/is/image/kohls/1130508?wid=1000&hei=1000&op_sharpen=1,n/a,n/a,n/a
LGKI0026,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1130507/wildkin-camo-jumpstart-messenger-bag-kids.jsp,Wildkin,Wildkin Camo Jumpstart Messenger Bag - Kids,1130507,1130507,36.99,2013-12-02 19:33,http://media.kohls.com.edgesuite.net/is/image/kohls/1130507?wid=1000&hei=1000&op_sharpen=1,n/a,n/a,n/a
LGKI0197,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1130504/wildkin-majestic-jumpstart-messenger-bag-kids.jsp,Wildkin,Wildkin Majestic Jumpstart Messenger Bag - Kids,1130504,1130504,36.99,2013-12-02 19:33,http://media.kohls.com.edgesuite.net/is/image/kohls/1130504?wid=1000&hei=1000&op_sharpen=1,n/a,n/a,n/a
LGKI0025,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1130506/wildkin-big-dots-jumpstart-messenger-bag-kids.jsp,Wildkin,Wildkin Big Dots Jumpstart Messenger Bag - Kids,1130506,1130506,36.99,2013-12-02 19:33,http://media.kohls.com.edgesuite.net/is/image/kohls/1130506?wid=1000&hei=1000&op_sharpen=1,n/a,n/a,n/a
LGKI0203,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1130537/wildkin-majestic-crackerjack-backpack-kids.jsp,Wildkin,Wildkin Majestic Crackerjack Backpack - Kids,1130537,1130537,36.99,2013-12-02 19:33,http://media.kohls.com.edgesuite.net/is/image/kohls/1130537?wid=1000&hei=1000&op_sharpen=1,n/a,n/a,n/a
LGKI0202,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1130536/wildkin-kaleidoscope-crackerjack-backpack-kids.jsp?searchTerm=Wildkin%20Kaleidoscope%20Crackerjack%20Backpack,Wildkin,Wildkin Kaleidoscope Crackerjack Backpack - Kids,1130536,1130536,36.99,2013-12-02 19:33,http://media.kohls.com.edgesuite.net/is/image/kohls/1130536?wid=1000&hei=1000&op_sharpen=1,n/a,n/a,n/a
LGKI0029,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1130538/wildkin-big-dots-crackerjack-backpack-kids.jsp?searchTerm=Wildkin%20Big%20Dots%20Aqua%20Crackerjack%20Backpack,Wildkin,Wildkin Big Dots Crackerjack Backpack - Kids,1130538,T1130538_Aqua,36.99,2013-12-02 19:33,http://media.kohls.com.edgesuite.net/is/image/kohls/1130538_Aqua?&scl=3,n/a,n/a,n/a
LGKI0029,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1130538/wildkin-big-dots-crackerjack-backpack-kids.jsp?searchTerm=Wildkin%20Big%20Dots%20Aqua%20Crackerjack%20Backpack,Wildkin,Wildkin Big Dots Crackerjack Backpack - Kids,1130538,T1130538_Aqua,36.99,2013-12-02 19:33,http://media.kohls.com.edgesuite.net/is/image/kohls/1130538_Aqua?&scl=3,n/a,n/a,n/a
LGKI0029,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1130538/wildkin-big-dots-crackerjack-backpack-kids.jsp?searchTerm=Wildkin%20Big%20Dots%20Aqua%20Crackerjack%20Backpack,Wildkin,Wildkin Big Dots Crackerjack Backpack - Kids,1130538,T1130538_Aqua,36.99,2013-12-02 19:33,http://media.kohls.com.edgesuite.net/is/image/kohls/1130538_Aqua?&scl=3,n/a,n/a,n/a
LGKI0028,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1130538/wildkin-big-dots-crackerjack-backpack-kids.jsp,Wildkin,Wildkin Big Dots Crackerjack Backpack - Kids,1130538,T1130538_Aqua,36.99,2013-12-02 19:33,http://media.kohls.com.edgesuite.net/is/image/kohls/1130538_Aqua?&scl=3,n/a,n/a,n/a
LGKI0028,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1130538/wildkin-big-dots-crackerjack-backpack-kids.jsp,Wildkin,Wildkin Big Dots Crackerjack Backpack - Kids,1130538,T1130538_Aqua,36.99,2013-12-02 19:33,http://media.kohls.com.edgesuite.net/is/image/kohls/1130538_Aqua?&scl=3,n/a,n/a,n/a
LGKI0028,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1130538/wildkin-big-dots-crackerjack-backpack-kids.jsp,Wildkin,Wildkin Big Dots Crackerjack Backpack - Kids,1130538,T1130538_Aqua,36.99,2013-12-02 19:33,http://media.kohls.com.edgesuite.net/is/image/kohls/1130538_Aqua?&scl=3,n/a,n/a,n/a
LGKI0031,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1194240/mcklein-reagan-briefcase.jsp,McKlein,McKlein Reagan Briefcase,1194240,T1194240_Black,169.99,2013-12-02 19:33,http://media.kohls.com.edgesuite.net/is/image/kohls/1194240_ALT?&scl=3,n/a,n/a,n/a
LGKI0031,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1194240/mcklein-reagan-briefcase.jsp,McKlein,McKlein Reagan Briefcase,1194240,T1194240_Black,169.99,2013-12-02 19:33,http://media.kohls.com.edgesuite.net/is/image/kohls/1194240_Black?&scl=3,n/a,n/a,n/a
LGKI0031,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1194240/mcklein-reagan-briefcase.jsp,McKlein,McKlein Reagan Briefcase,1194240,T1194240_Brown,169.99,2013-12-02 19:33,http://media.kohls.com.edgesuite.net/is/image/kohls/1194240_Brown?&scl=3,n/a,n/a,n/a
LGKI0031,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1194240/mcklein-reagan-briefcase.jsp,McKlein,McKlein Reagan Briefcase,1194240,T1194240_Brown,169.99,2013-12-02 19:33,http://media.kohls.com.edgesuite.net/is/image/kohls/1194240_ALT?&scl=3,n/a,n/a,n/a
LGKI0205,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1130541/wildkin-snake-crackerjack-backpack-kids.jsp,Wildkin,Wildkin Snake Crackerjack Backpack - Kids,1130541,1130541,36.99,2013-12-02 19:33,http://media.kohls.com.edgesuite.net/is/image/kohls/1130541?wid=1000&hei=1000&op_sharpen=1,n/a,n/a,n/a
LGKI0204,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1130539/wildkin-camo-crackerjack-backpack-kids.jsp,Wildkin,Wildkin Camo Crackerjack Backpack - Kids,1130539,1130539,36.99,2013-12-02 19:33,http://media.kohls.com.edgesuite.net/is/image/kohls/1130539?wid=1000&hei=1000&op_sharpen=1,n/a,n/a,n/a
LGKI0030,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1194232/mcklein-daley-briefcase.jsp,McKlein,McKlein Daley Briefcase,1194232,T1194232_Brown,169.99,2013-12-02 19:33,http://media.kohls.com.edgesuite.net/is/image/kohls/1194232_ALT?&scl=3,n/a,n/a,n/a
LGKI0030,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1194232/mcklein-daley-briefcase.jsp,McKlein,McKlein Daley Briefcase,1194232,T1194232_Brown,169.99,2013-12-02 19:33,http://media.kohls.com.edgesuite.net/is/image/kohls/1194232_Brown?&scl=3,n/a,n/a,n/a
LGKI0030,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1194232/mcklein-daley-briefcase.jsp,McKlein,McKlein Daley Briefcase,1194232,T1194232_Black,169.99,2013-12-02 19:33,http://media.kohls.com.edgesuite.net/is/image/kohls/1194232_ALT?&scl=3,n/a,n/a,n/a
LGKI0030,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1194232/mcklein-daley-briefcase.jsp,McKlein,McKlein Daley Briefcase,1194232,T1194232_Black,169.99,2013-12-02 19:33,http://media.kohls.com.edgesuite.net/is/image/kohls/1194232_Black?&scl=3,n/a,n/a,n/a
LGKI0043,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1253595/t-tech-by-tumi-luggage-tag.jsp,T-Tech by Tumi,T-Tech by Tumi Luggage Tag,1253595,1253595,22.99,2013-12-02 19:34,http://media.kohls.com.edgesuite.net/is/image/kohls/1253595?wid=1000&hei=1000&op_sharpen=1,n/a,n/a,n/a
LGKI0042,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1253594/t-tech-by-tumi-luggage-strap.jsp,T-Tech by Tumi,T-Tech by Tumi Luggage Strap,1253594,1253594,24.99,2013-12-02 19:34,http://media.kohls.com.edgesuite.net/is/image/kohls/1253594?wid=1000&hei=1000&op_sharpen=1,n/a,n/a,n/a
LGKI0041,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1253591/t-tech-by-tumi-convertible-undercover-stash.jsp,T-Tech by Tumi,T-Tech by Tumi Convertible Undercover Stash,1253591,1253591,39.99,2013-12-02 19:34,http://media.kohls.com.edgesuite.net/is/image/kohls/1253591?wid=1000&hei=1000&op_sharpen=1,n/a,n/a,n/a
LGKI0040,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1253576/t-tech-by-tumi-double-cable-lock.jsp,T-Tech by Tumi,T-Tech by Tumi Double Cable Lock,1253576,1253576,29.99,2013-12-02 19:34,http://media.kohls.com.edgesuite.net/is/image/kohls/1253576?wid=1000&hei=1000&op_sharpen=1,n/a,n/a,n/a
LGKI0045,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1253598/t-tech-by-tumi-medium-packing-cube.jsp,T-Tech by Tumi,T-Tech by Tumi Medium Packing Cube,1253598,1253598,29.99,2013-12-02 19:34,http://media.kohls.com.edgesuite.net/is/image/kohls/1253598?wid=1000&hei=1000&op_sharpen=1,n/a,n/a,n/a
LGKI0047,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1253601/t-tech-by-tumi-shirt-folder.jsp,T-Tech by Tumi,T-Tech by Tumi Shirt Folder,1253601,1253601,44.99,2013-12-02 19:34,http://media.kohls.com.edgesuite.net/is/image/kohls/1253601?wid=1000&hei=1000&op_sharpen=1,n/a,n/a,n/a
LGKI0044,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1253597/t-tech-by-tumi-2-pc-luggage-tag-set.jsp,T-Tech by Tumi,T-Tech by Tumi 2-pc. Luggage Tag Set,1253597,1253597,24.99,2013-12-02 19:34,http://media.kohls.com.edgesuite.net/is/image/kohls/1253597?wid=1000&hei=1000&op_sharpen=1,n/a,n/a,n/a
LGKI0050,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1253607/t-tech-by-tumi-knit-eye-shade.jsp,T-Tech by Tumi,T-Tech by Tumi Knit Eye Shade,1253607,1253607,24.99,2013-12-02 19:34,http://media.kohls.com.edgesuite.net/is/image/kohls/1253607?wid=1000&hei=1000&op_sharpen=1,n/a,n/a,n/a
LGKI0046,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1253599/t-tech-by-tumi-large-packing-cube.jsp,T-Tech by Tumi,T-Tech by Tumi Large Packing Cube,1253599,1253599,34.99,2013-12-02 19:34,http://media.kohls.com.edgesuite.net/is/image/kohls/1253599?wid=1000&hei=1000&op_sharpen=1,n/a,n/a,n/a
LGKI0048,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1253603/t-tech-by-tumi-analog-luggage-scale.jsp,T-Tech by Tumi,T-Tech by Tumi Analog Luggage Scale,1253603,1253603,29.99,2013-12-02 19:34,http://media.kohls.com.edgesuite.net/is/image/kohls/1253603?wid=1000&hei=1000&op_sharpen=1,n/a,n/a,n/a
