amz_pt_class	amz_product_id	SKU	weekno	amz_final_price	avail_flag	amz_avail	cnt
1153 - Commercial	B0067PN49G	792249	29	1243.77	1	1	52
1153 - Commercial	B0067PN49G	792249	30	1233.58	1	1	52
1153 - Commercial	B0067PN49G	792249	31	1648.95	1	1	52
1153 - Commercial	B0067PN49G	792249	32	1551.01	1	1	52
1153 - Commercial	B0067PN49G	792249	33	1551.01	1	1	52
1153 - Commercial	B0067PN49G	792249	34	1551.01	1	1	52
1153 - Commercial	B0067PN49G	792249	35	1551.01	1	1	52
1153 - Commercial	B0067PN49G	792249	36	1551.01	1	1	52
1153 - Commercial	B0067PN49G	792249	37	1520.09	1	1	52
1153 - Commercial	B0067PN49G	792249	38	1517.79	1	1	52
1153 - Commercial	B0067PN49G	792249	39	1405.9	1	1	52
1153 - Commercial	B0067PN49G	792249	40	1551.01	1	1	52
1153 - Commercial	B0067PN49G	792249	41	1551.01	1	1	52
1153 - Commercial	B0067PN49G	792249	42	1551.01	1	1	52
1153 - Commercial	B0067PN49G	792249	43	1420.6	1	1	52
1153 - Commercial	B0067PN49G	792249	44	1426.56	1	1	52
1153 - Commercial	B0067PN49G	792249	45	1213.98	1	1	52
1153 - Commercial	B0067PN49G	792249	46	1240.74	1	1	52
1153 - Commercial	B0067PN49G	792249	47	1532.19	1	1	52
1153 - Commercial	B0067PN49G	792249	48	1551.01	1	1	52
1153 - Commercial	B0067PN49G	792249	49	1551.01	1	1	52
1153 - Commercial	B0067PN49G	792249	50	1551.01	1	1	52
1153 - Commercial	B0067PN49G	792249	51	1551.01	1	1	52
1153 - Commercial	B0067PN49G	792249	52	1551.01	1	1	52
