Product ID,Week1,Week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,week20,week21,week22,week23,week24,week25,week26,week27,week28,week29,week30,week31,week32,week33,stdev_with_outliers,stdev_without_outliers,check
198438,N/A,0.5,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.3333,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.35,0.35,1
578825,0.658325,0.4122,0.566666667,0.34725,0.2,0.5941,0.516675,0.0303,0.267566667,0.33335,1,0.125,1,0.1111,,N/A,0.57145,N/A,N/A,N/A,0.5,0.125,0.5625,N/A,N/A,N/A,N/A,N/A,0.437833333,0.1435,0.3137,0.17885,0.3183,0.26,0.26,1
450260,N/A,N/A,N/A,0.5,1,N/A,N/A,N/A,0.5,N/A,0.375,N/A,N/A,0.25,0.3,N/A,0.785725,N/A,1,0.625,0.25,0.6,0.25,1,N/A,,N/A,0.4167,N/A,N/A,N/A,N/A,,0.28,0.28,1
489461,0.35,,N/A,N/A,N/A,0.32145,N/A,,N/A,N/A,0.607993548,0.655465625,0.707819355,0.675176667,0.648103846,0.569118519,0.547132,0.699143333,0.586360714,0.692665385,0.670188889,0.620770833,0.575618519,0.66332,0.627032258,0.576377273,0.740565385,0.694935714,,0.4,N/A,N/A,0.3125,0.18,0.13,0
875250,,0.5,,N/A,0.5,N/A,0.33335,0.1429,N/A,0.75,0.62378,0.530833333,0.708,0.559672727,0.614266667,0.544583333,0.457066667,0.606266667,0.616385714,0.598,0.66165,0.6458375,0.547785714,0.456216667,0.58386,0.492666667,0.713281818,0.453257143,0.625,N/A,N/A,N/A,0.25,0.18,0.14,0
625312,0.7327625,0.662947458,0.6336,0.645332432,0.628755556,0.65159375,0.60235,0.671208,0.690710345,0.708103226,0.539625,0.56462,0.610475,0.560346667,0.342916667,0.426428571,0.530442857,0.704842857,0.460322222,0.6436,0.5628,,0.4661125,0.547642857,0.3991,0.4946,0.565922222,0.531133333,0.574833333,0.707912,0.608630769,0.583903846,0.603819231,0.10,0.09,0
446825,0.8063625,0.408333333,0.576533333,0.534171429,0.629266667,0.3874,0.4919,0.501085714,0.49882,0.738266667,0.595825,0.608966667,,0.3611,0.65,,0.1111,0.2,0.17145,0.57145,0.66665,0.1429,0.3333,0.1429,,0.5,0.5556,N/A,0.685055556,0.476014286,0.5213,0.591388889,0.407842857,0.22,0.19,0
403405,0.5065,0.5479125,0.76072,0.45458,0.7494,0.4138875,0.7437,0.65645,0.66125,0.46855,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.3333,N/A,N/A,N/A,N/A,N/A,N/A,0.625,0.536728571,0.495514286,0.380957143,0.5336375,0.414283333,0.17,0.13,0
232403,0.25,,0.58335,0.55555,N/A,N/A,0.58335,0.5,,0.2222,0.608476471,0.701064706,0.671365,0.664305556,0.57301875,0.607842857,0.584594118,0.715583333,0.704784211,0.657966667,0.669511111,0.63722,0.6147,0.564757895,0.666583333,0.642947059,0.712858824,0.583621429,0.41665,0.56665,,0.455566667,N/A,0.16,0.12,0
173047,N/A,N/A,N/A,N/A,,N/A,0.3333,N/A,N/A,N/A,0.624390909,0.514644444,0.47235,0.531554545,0.636016667,0.502275,0.533426667,0.5925,0.652118182,0.352166667,0.39475,0.528857143,0.547644444,0.5894,0.3894875,0.578461538,0.686711111,0.444954545,N/A,0.3333,N/A,0.625,N/A,0.15,0.11,0
597050,0.714036364,0.69213,0.677019048,0.562421429,0.462564286,0.655605882,0.782525,0.654094737,0.770911111,0.603286667,0.62394,0.6763,0.71324,0.5049,0.685533333,0.596366667,0.583033333,0.567,0.5633,0.686455556,0.62727,0.495825,0.519,0.71305,0.6466,0.5659,0.718,,0.5814,0.586217647,0.612626667,0.639664286,0.64411875,0.09,0.08,0
706265,0.488788889,0.519955556,0.59731,0.501385714,0.487078571,0.5607,0.54273,0.56067,0.45354,0.4593125,,0.2,,0.666666667,0.470066667,N/A,0.527766667,,0.2,0.6,N/A,0.3333,0.125,N/A,N/A,,0.5,0.29165,0.3304,0.495825,0.4562,0.505344444,0.555577778,0.21,0.14,0
305289,0.475733333,0.5543125,0.493590909,0.55394,0.387266667,0.5651,0.5761625,0.6352,0.703209091,0.638272727,0.689833333,0.491057143,0.60765,0.56779,,0.5207625,0.485855556,0.55408,0.476955556,0.5550625,0.5667125,0.47725,0.579127273,0.59655,0.579433333,0.62716,0.549857143,0.469514286,0.54786,0.506116667,0.5326625,0.6776,0.7009,0.08,0.07,0
384114,0.2,0.58334,0.1429,0.3333,0.740733333,0.1,0.6,N/A,0.2143,,0.4799375,0.412175,0.561281818,0.5282,0.429788889,0.502911111,0.558211111,0.405922222,0.537409091,0.512475,0.3412,0.502636364,0.599111111,0.5938,0.4823875,0.54573,0.575609091,0.582883333,0.436533333,0.3333,,0.66665,0.125,0.19,0.16,0
942322,0.51714,0.4648125,0.337916667,0.4792,0.5478,0.38014,0.5839875,0.58486,0.5504125,0.597257143,0.1429,0.75,N/A,0.1429,0.525,N/A,N/A,N/A,N/A,0.125,,0.75,,N/A,0.1803,0.25,N/A,0.777766667,0.44454,0.5857375,0.499928571,0.515642857,0.57283,0.19,0.19,1
706260,0.489266667,0.62784,0.557036364,0.535533333,0.518666667,0.474521429,0.522135714,0.4438,0.450575,0.531281818,0.67964,0.583333333,0.740557143,0.561785714,0.479633333,0.71052,0.573375,0.5525,0.541666667,0.697125,0.76364,0.5611,,0.291666667,0.6037,0.7108,0.429933333,0.652775,0.561688889,0.634378947,0.627510526,0.568645455,0.512005,0.11,0.10,0
910497,0.7,0.47994,0.9,0.53056,0.08165,0.0588,0.27175,0.2086,0.087,0.43152,N/A,0.6111,0.57145,0.3333,,N/A,0.1111,0.375,0.2,0.5,0.3333,0.7,0.35,0.2,0.57145,0.45,0.2,1,0.375,N/A,0.520833333,0.260725,N/A,0.24,0.24,1
921179,0.27715,0.5605,0.43845,0.72728,0.53575,0.654885714,0.50584,0.675,0.71072,0.48685,N/A,1,1,N/A,N/A,N/A,N/A,N/A,0.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.472725,0.514575,0.650466667,0.19445,0.377766667,0.23,0.23,1
921017,N/A,0.4,0.280966667,0.2,0.5,N/A,N/A,0.3333,0.3333,0.483333333,0.5625,N/A,1,N/A,,0.547633333,1,0.1667,1,1,,1,N/A,N/A,0.125,,0.25,1,0.1429,0.6,N/A,N/A,N/A,0.33,0.33,1
921449,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,#DIV/0!,#DIV/0!,#DIV/0!
921287,N/A,N/A,1,1,N/A,N/A,N/A,0.3333,,1,0.75,N/A,1,0.5,N/A,0.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,0.3333,N/A,0.30,0.30,1
921026,0.4583,0.515625,0.292266667,0.58335,0.2,0.75,0.5,0.25,N/A,0.458333333,N/A,0.3333,N/A,,0.5,N/A,N/A,0.3333,N/A,N/A,N/A,N/A,,N/A,N/A,0.66665,N/A,N/A,0.25,,,0.625,0.53845,0.16,0.16,1
921269,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,0.00,0.00,1
