Final_sales_Rank,List_Price,Discount,Discount_pct,Final_Price_after_Discount,avg_Regular_price,min_Regular_price,max_Regular_price,avg_Disc_per,min_Disc_per,max_Disc_per,avg_final_price,min_final_price,max_final_price,avg_shipping_price,min_shipping_price,max_shipping_price,avg_amz_mkt_Regular_price,min_amz_mkt_Regular_price,max_amz_mkt_Regular_price,Avg_amz_mkt_disc_perc,min_amz_mkt_disc_perc,max_amz_mkt_disc_perc,avg_amz_mkt_final_price,min_amz_mkt_final_price,max_amz_mkt_final_price,avg_amz_mkt_shipping_price,min_amz_mkt_shipping_price,max_amz_mkt_shipping_price
52286,249.99,50.09,20,199.9,249.99,249.99,249.99,0.2,0.2,0.2,199.9,199.9,199.9,0,0,0,199.9,199.9,199.9,0,0,0,199.9,199.9,199.9,0,0,0
38259,279.99,42,15,237.99,279.99,279.99,279.99,0.15,0.15,0.15,237.99,237.99,237.99,0,0,0,239.9,239.9,239.9,0,0,0,239.9,239.9,239.9,0,0,0
25050,379.99,30.09,8,349.9,379.99,379.99,379.99,0.08,0.08,0.08,349.9,349.9,349.9,4.99,4.99,4.99,379.99,379.99,379.99,0.210768704,0.210768704,0.210768704,299.9,299.9,299.9,0,0,0
35416,239.99,53,22,186.99,239.99,239.99,239.99,0.22,0.22,0.22,186.99,186.99,186.99,0,0,0,191.14,191.14,191.14,0,0,0,191.14,191.14,191.14,0,0,0
34509,239.99,53,22,186.99,239.99,239.99,239.99,0.22,0.22,0.22,186.99,186.99,186.99,0,0,0,200.98,200.98,200.98,0,0,0,200.98,200.98,200.98,0,0,0
17208,289.99,69,24,220.99,289.99,289.99,289.99,0.24,0.24,0.24,220.99,220.99,220.99,0,0,0,226.99,226.99,226.99,0,0,0,226.99,226.99,226.99,0,0,0
14052,289.99,69,24,220.99,289.99,289.99,289.99,0.24,0.24,0.24,220.99,220.99,220.99,0,0,0,226.99,226.99,226.99,0,0,0,226.99,226.99,226.99,0,0,0
60306,249.99,50.09,20,199.9,249.99,249.99,249.99,0.2,0.2,0.2,199.9,199.9,199.9,0,0,0,199.9,199.9,199.9,0,0,0,199.9,199.9,199.9,0,0,0
51915,249.99,53.43,21,196.56,249.99,249.99,249.99,0.21,0.21,0.21,196.56,196.56,196.56,0,0,0,239.91,239.91,239.91,0,0,0,239.91,239.91,239.91,0,0,0
39808,336,48.31,14,287.69,336,336,336,0.14,0.14,0.14,287.69,287.69,287.69,0,0,0,334.99,334.99,334.99,0,0,0,334.99,334.99,334.99,0,0,0
40586,336,48.31,14,287.69,336,336,336,0.14,0.14,0.14,287.69,287.69,287.69,0,0,0,331.25,331.25,331.25,0,0,0,331.25,331.25,331.25,0,0,0
101407,336,49.03,15,286.97,336,336,336,0.15,0.15,0.15,286.97,286.97,286.97,0,0,0,334.99,334.99,334.99,0,0,0,334.99,334.99,334.99,0,0,0
7256,249.99,53.55,21,196.44,249.99,249.99,249.99,0.21,0.21,0.21,196.44,196.44,196.44,0,0,0,239.91,239.91,239.91,0,0,0,239.91,239.91,239.91,0,0,0
25135,249.99,53.43,21,196.56,249.99,249.99,249.99,0.21,0.21,0.21,196.56,196.56,196.56,0,0,0,239.91,239.91,239.91,0,0,0,239.91,239.91,239.91,0,0,0
3768,229.99,39.79,17,190.2,229.99,229.99,229.99,0.17,0.17,0.17,190.2,190.2,190.2,0,0,0,228.67,228.67,228.67,0,0,0,228.67,228.67,228.67,0,0,0
10875,229.99,34.5,15,195.49,229.99,229.99,229.99,0.15,0.15,0.15,195.49,195.49,195.49,0,0,0,224.95,224.95,224.95,0,0,0,224.95,224.95,224.95,0,0,0
33626,229.99,20.02,9,209.97,229.99,229.99,229.99,0.09,0.09,0.09,209.97,209.97,209.97,0,0,0,228.67,228.67,228.67,0,0,0,228.67,228.67,228.67,0,0,0
10283,229.99,40.74,18,189.25,229.99,229.99,229.99,0.18,0.18,0.18,189.25,189.25,189.25,0,0,0,228.67,228.67,228.67,0,0,0,228.67,228.67,228.67,0,0,0
50615,229.99,36.9,16,193.09,229.99,229.99,229.99,0.16,0.16,0.16,193.09,193.09,193.09,0,0,0,228.67,228.67,228.67,0,0,0,228.67,228.67,228.67,0,0,0
92168,349.99,70.09,20,279.9,349.99,349.99,349.99,0.2,0.2,0.2,279.9,279.9,279.9,0,0,0,279,279,279,0,0,0,279,279,279,0,0,0
14104,279,0,0,279,279,279,279,0,0,0,279,279,279,4.99,4.99,4.99,278.95,278.95,278.95,0,0,0,278.95,278.95,278.95,0,0,0
36039,249,2.02,1,246.98,249,249,249,0.01,0.01,0.01,246.98,246.98,246.98,0,0,0,246.98,246.98,246.98,0,0,0,246.98,246.98,246.98,0,0,0
24184,249,0,0,249,249,249,249,0,0,0,249,249,249,4.99,4.99,4.99,249,249,249,0,0,0,249,249,249,0,0,0
5134,249.99,51.84,21,198.15,249.99,249.99,249.99,0.21,0.21,0.21,198.15,198.15,198.15,0,0,0,245.32,245.32,245.32,0,0,0,245.32,245.32,245.32,0,0,0
14127,249.99,54.5,22,195.49,249.99,249.99,249.99,0.22,0.22,0.22,195.49,195.49,195.49,0,0,0,245.32,245.32,245.32,0,0,0,245.32,245.32,245.32,0,0,0
25202,249.99,51.66,21,198.33,249.99,249.99,249.99,0.21,0.21,0.21,198.33,198.33,198.33,0,0,0,245.32,245.32,245.32,0,0,0,245.32,245.32,245.32,0,0,0
23829,249.99,51.66,21,198.33,249.99,249.99,249.99,0.21,0.21,0.21,198.33,198.33,198.33,0,0,0,245.32,245.32,245.32,0,0,0,245.32,245.32,245.32,0,0,0
6187,249.99,37.5,15,212.49,249.99,249.99,249.99,0.15,0.15,0.15,212.49,212.49,212.49,0,0,0,245.32,245.32,245.32,0,0,0,245.32,245.32,245.32,0,0,0
9807,249.99,51.66,21,198.33,249.99,249.99,249.99,0.21,0.21,0.21,198.33,198.33,198.33,0,0,0,245.32,245.32,245.32,0,0,0,245.32,245.32,245.32,0,0,0
27191,74.99,5.09,7,69.9,74.99,74.99,74.99,0.07,0.07,0.07,69.9,69.9,69.9,0,0,0,69.9,69.9,69.9,0,0,0,69.9,69.9,69.9,0,0,0
95028,74.99,10.4,14,64.59,74.99,74.99,74.99,0.14,0.14,0.14,64.59,64.59,64.59,0,0,0,69.9,69.9,69.9,0,0,0,69.9,69.9,69.9,0,0,0
39163,379.99,80.09,21,299.9,379.99,379.99,379.99,0.21,0.21,0.21,299.9,299.9,299.9,0,0,0,412.86,412.86,412.86,0,0,0,412.86,412.86,412.86,0,0,0
134807,399.99,150.09,38,249.9,399.99,399.99,399.99,0.38,0.38,0.38,249.9,249.9,249.9,0,0,0,249.9,249.9,249.9,0,0,0,249.9,249.9,249.9,0,0,0
129950,399.99,100.09,25,299.9,399.99,399.99,399.99,0.25,0.25,0.25,299.9,299.9,299.9,0,0,0,299.9,299.9,299.9,0,0,0,299.9,299.9,299.9,0,0,0
180166,399.99,100.09,25,299.9,399.99,399.99,399.99,0.25,0.25,0.25,299.9,299.9,299.9,4.99,4.99,4.99,399.99,399.99,399.99,0.24120603,0.24120603,0.24120603,303.51,303.51,303.51,0,0,0
39928,499,0,0,499,499,499,499,0,0,0,499,499,499,4.99,4.99,4.99,589,589,589,0,0,0,589,589,589,0,0,0
5213,149,38.51,26,110.49,149,149,149,0.26,0.26,0.26,110.49,110.49,110.49,0,0,0,137.59,137.59,137.59,0,0,0,137.59,137.59,137.59,0,0,0
32576,164.99,15,9,149.99,164.99,164.99,164.99,0.09,0.09,0.09,149.99,149.99,149.99,0,0,0,179.9,179.9,179.9,0,0,0,179.9,179.9,179.9,0,0,0
5150,269.99,40,15,229.99,269.99,269.99,269.99,0.15,0.15,0.15,229.99,229.99,229.99,0,0,0,285.99,285.99,285.99,0,0,0,285.99,285.99,285.99,44.99,44.99,44.99
40308,279.99,30.07,11,249.92,279.99,279.99,279.99,0.11,0.11,0.11,249.92,249.92,249.92,0,0,0,250.01,250.01,250.01,0,0,0,250.01,250.01,250.01,0,0,0
29694,279.99,20.99,7,259,279.99,279.99,279.99,0.07,0.07,0.07,259,259,259,4.99,4.99,4.99,279.99,279.99,279.99,0.107075253,0.107075253,0.107075253,250.01,250.01,250.01,0,0,0
28500,219.99,51.37,23,168.62,219.99,219.99,219.99,0.23,0.23,0.23,168.62,168.62,168.62,0,0,0,225.6,225.6,225.6,0,0,0,225.6,225.6,225.6,0,0,0
17832,219.99,51.37,23,168.62,219.99,219.99,219.99,0.23,0.23,0.23,168.62,168.62,168.62,0,0,0,259.95,259.95,259.95,0,0,0,259.95,259.95,259.95,0,0,0
54315,219.99,51.37,23,168.62,219.99,219.99,219.99,0.23,0.23,0.23,168.62,168.62,168.62,0,0,0,225.6,225.6,225.6,0,0,0,225.6,225.6,225.6,0,0,0
32328,219.99,51.37,23,168.62,219.99,219.99,219.99,0.23,0.23,0.23,168.62,168.62,168.62,0,0,0,213.95,213.95,213.95,0,0,0,213.95,213.95,213.95,0,0,0
24644,164.99,0,0,164.99,164.99,164.99,164.99,0,0,0,164.99,164.99,164.99,4.99,4.99,4.99,179.9,179.9,179.9,0,0,0,179.9,179.9,179.9,0,0,0
48016,309.99,20.99,7,289,309.99,309.99,309.99,0.07,0.07,0.07,289,289,289,0,0,0,399.99,399.99,399.99,0,0,0,399.99,399.99,399.99,76.99,76.99,76.99
25403,309.99,20.99,7,289,309.99,309.99,309.99,0.07,0.07,0.07,289,289,289,0,0,0,399.99,399.99,399.99,0,0,0,399.99,399.99,399.99,72.49,72.49,72.49
24946,309.99,20.99,7,289,309.99,309.99,309.99,0.07,0.07,0.07,289,289,289,0,0,0,399.99,399.99,399.99,0,0,0,399.99,399.99,399.99,72.49,72.49,72.49
20976,254.99,85,33,169.99,254.99,254.99,254.99,0.33,0.33,0.33,169.99,169.99,169.99,0,0,0,203.57,203.57,203.57,0,0,0,203.57,203.57,203.57,0,0,0
10660,254.99,85,33,169.99,254.99,254.99,254.99,0.33,0.33,0.33,169.99,169.99,169.99,0,0,0,203.93,203.93,203.93,0,0,0,203.93,203.93,203.93,0,0,0
10882,254.99,85,33,169.99,254.99,254.99,254.99,0.33,0.33,0.33,169.99,169.99,169.99,0,0,0,203.93,203.93,203.93,0,0,0,203.93,203.93,203.93,0,0,0
6161,399,59.01,15,339.99,399,399,399,0.15,0.15,0.15,339.99,339.99,339.99,4.99,4.99,4.99,399,399,399,0,0,0,399,399,399,0,0,0
