Final_sales_Rank,List_Price,Discount,Discount_pct,Final_Price_after_Discount,avg_Regular_price,min_Regular_price,max_Regular_price,avg_Disc_per,min_Disc_per,max_Disc_per,avg_final_price,min_final_price,max_final_price,avg_shipping_price,min_shipping_price,max_shipping_price,avg_amz_mkt_Regular_price,min_amz_mkt_Regular_price,max_amz_mkt_Regular_price,Avg_amz_mkt_disc_perc,min_amz_mkt_disc_perc,max_amz_mkt_disc_perc,avg_amz_mkt_final_price,min_amz_mkt_final_price,max_amz_mkt_final_price,avg_amz_mkt_shipping_price,min_amz_mkt_shipping_price,max_amz_mkt_shipping_price
24881,129.99,11,8,118.99,129.99,129.99,129.99,0.08,0.08,0.08,118.99,118.99,118.99,0,0,0,123.99,123.99,123.99,0,0,0,123.99,123.99,123.99,0,0,0
13099,129.99,11,8,118.99,129.99,129.99,129.99,0.08,0.08,0.08,118.99,118.99,118.99,0,0,0,123.99,123.99,123.99,0,0,0,123.99,123.99,123.99,0,0,0
9095,129.99,11.01,8,118.98,129.99,129.99,129.99,0.08,0.08,0.08,118.98,118.98,118.98,0,0,0,123.99,123.99,123.99,0,0,0,123.99,123.99,123.99,0,0,0
8562,199,29.01,15,169.99,199,199,199,0.15,0.15,0.15,169.99,169.99,169.99,0,0,0,178.99,178.99,178.99,0,0,0,178.99,178.99,178.99,0,0,0
36431,199,20,10,179,199,199,199,0.1,0.1,0.1,179,179,179,0,0,0,178.99,178.99,178.99,0,0,0,178.99,178.99,178.99,0,0,0
8042,199,55.35,28,143.65,199,199,199,0.28,0.28,0.28,143.65,143.65,143.65,0,0,0,143.65,143.65,143.65,0,0,0,143.65,143.65,143.65,0,0,0
12991,279,41.01,15,237.99,279,279,279,0.15,0.15,0.15,237.99,237.99,237.99,0,0,0,269,269,269,0,0,0,269,269,269,0,0,0
5732,279,41.01,15,237.99,279,279,279,0.15,0.15,0.15,237.99,237.99,237.99,0,0,0,269,269,269,0,0,0,269,269,269,0,0,0
10925,279,41.01,15,237.99,279,279,279,0.15,0.15,0.15,237.99,237.99,237.99,0,0,0,269,269,269,0,0,0,269,269,269,0,0,0
36133,239.99,15.71,7,224.28,239.99,239.99,239.99,0.07,0.07,0.07,224.28,224.28,224.28,0,0,0,219.9,219.9,219.9,0,0,0,219.9,219.9,219.9,0,0,0
55707,279.99,50.41,18,229.58,279.99,279.99,279.99,0.18,0.18,0.18,229.58,229.58,229.58,4.99,4.99,4.99,279.99,279.99,279.99,0.28604593,0.28604593,0.28604593,199.9,199.9,199.9,0,0,0
31654,249.99,16,6,233.99,249.99,249.99,249.99,0.06,0.06,0.06,233.99,233.99,233.99,4.99,4.99,4.99,249.99,249.99,249.99,0.200368015,0.200368015,0.200368015,199.9,199.9,199.9,0,0,0
51023,279.99,25.11,9,254.88,279.99,279.99,279.99,0.09,0.09,0.09,254.88,254.88,254.88,0,0,0,249.9,249.9,249.9,0,0,0,249.9,249.9,249.9,0,0,0
19447,379.99,23.11,6,356.88,379.99,379.99,379.99,0.06,0.06,0.06,356.88,356.88,356.88,0,0,0,349.9,349.9,349.9,0,0,0,349.9,349.9,349.9,0,0,0
30000,239.99,53,22,186.99,239.99,239.99,239.99,0.22,0.22,0.22,186.99,186.99,186.99,0,0,0,200.98,200.98,200.98,0,0,0,200.98,200.98,200.98,0,0,0
21315,239.99,53,22,186.99,239.99,239.99,239.99,0.22,0.22,0.22,186.99,186.99,186.99,0,0,0,200.98,200.98,200.98,0,0,0,200.98,200.98,200.98,0,0,0
8281,289.99,69,24,220.99,289.99,289.99,289.99,0.24,0.24,0.24,220.99,220.99,220.99,4.99,4.99,4.99,299.99,299.99,299.99,0.211707057,0.211707057,0.211707057,236.48,236.48,236.48,0,0,0
55242,249.99,54.5,22,195.49,249.99,249.99,249.99,0.22,0.22,0.22,195.49,195.49,195.49,0,0,0,253.48,253.48,253.48,0,0,0,253.48,253.48,253.48,6.49,6.49,6.49
53031,336,5.51,2,330.49,336,336,336,0.02,0.02,0.02,330.49,330.49,330.49,0,0,0,323.71,323.71,323.71,0,0,0,323.71,323.71,323.71,0,0,0
22269,249.99,54.5,22,195.49,249.99,249.99,249.99,0.22,0.22,0.22,195.49,195.49,195.49,0,0,0,253.48,253.48,253.48,0,0,0,253.48,253.48,253.48,6.49,6.49,6.49
21514,249.99,45,18,204.99,249.99,249.99,249.99,0.18,0.18,0.18,204.99,204.99,204.99,0,0,0,253.48,253.48,253.48,0,0,0,253.48,253.48,253.48,6.49,6.49,6.49
11854,249.99,54.5,22,195.49,249.99,249.99,249.99,0.22,0.22,0.22,195.49,195.49,195.49,0,0,0,253.48,253.48,253.48,0,0,0,253.48,253.48,253.48,6.49,6.49,6.49
9257,229.99,34.5,15,195.49,229.99,229.99,229.99,0.15,0.15,0.15,195.49,195.49,195.49,0,0,0,195.49,195.49,195.49,0,0,0,195.49,195.49,195.49,0,0,0
10088,229.99,37.23,16,192.76,229.99,229.99,229.99,0.16,0.16,0.16,192.76,192.76,192.76,0,0,0,192.76,192.76,192.76,0,0,0,192.76,192.76,192.76,0,0,0
28398,229.99,40.99,18,189,229.99,229.99,229.99,0.18,0.18,0.18,189,189,189,0,0,0,189,189,189,0,0,0,189,189,189,0,0,0
19587,229.99,34.5,15,195.49,229.99,229.99,229.99,0.15,0.15,0.15,195.49,195.49,195.49,0,0,0,209.97,209.97,209.97,0,0,0,209.97,209.97,209.97,0,0,0
21783,299,0,0,299,299,299,299,0,0,0,299,299,299,4.99,4.99,4.99,299,299,299,0,0,0,299,299,299,0,0,0
14586,299,44.85,15,254.15,299,299,299,0.15,0.15,0.15,254.15,254.15,254.15,0,0,0,299,299,299,0,0,0,299,299,299,0,0,0
16060,299,0,0,299,299,299,299,0,0,0,299,299,299,4.99,4.99,4.99,299,299,299,0,0,0,299,299,299,0,0,0
6077,249.99,54.5,22,195.49,249.99,249.99,249.99,0.22,0.22,0.22,195.49,195.49,195.49,0,0,0,219.97,219.97,219.97,0,0,0,219.97,219.97,219.97,0,0,0
8260,249.99,54.5,22,195.49,249.99,249.99,249.99,0.22,0.22,0.22,195.49,195.49,195.49,0,0,0,252.48,252.48,252.48,0,0,0,252.48,252.48,252.48,6.49,6.49,6.49
35528,249.99,45,18,204.99,249.99,249.99,249.99,0.18,0.18,0.18,204.99,204.99,204.99,0,0,0,229.98,229.98,229.98,0,0,0,229.98,229.98,229.98,0,0,0
22964,249.99,54.5,22,195.49,249.99,249.99,249.99,0.22,0.22,0.22,195.49,195.49,195.49,0,0,0,229.96,229.96,229.96,0,0,0,229.96,229.96,229.96,0,0,0
21346,249.99,54.5,22,195.49,249.99,249.99,249.99,0.22,0.22,0.22,195.49,195.49,195.49,0,0,0,240.99,240.99,240.99,0,0,0,240.99,240.99,240.99,0,0,0
29324,249.99,45,18,204.99,249.99,249.99,249.99,0.18,0.18,0.18,204.99,204.99,204.99,0,0,0,219.97,219.97,219.97,0,0,0,219.97,219.97,219.97,0,0,0
26303,74.99,3.71,5,71.28,74.99,74.99,74.99,0.05,0.05,0.05,71.28,71.28,71.28,0,0,0,69.9,69.9,69.9,0,0,0,69.9,69.9,69.9,0,0,0
93613,74.99,3.71,5,71.28,74.99,74.99,74.99,0.05,0.05,0.05,71.28,71.28,71.28,0,0,0,69.9,69.9,69.9,0,0,0,69.9,69.9,69.9,0,0,0
30040,379.99,80.09,21,299.9,379.99,379.99,379.99,0.21,0.21,0.21,299.9,299.9,299.9,0,0,0,479.99,479.99,479.99,0,0,0,479.99,479.99,479.99,0,0,0
122398,399.99,0,0,399.9,399.99,399.99,399.99,0,0,0,399.9,399.9,399.9,0,0,0,399.9,399.9,399.9,0,0,0,399.9,399.9,399.9,0,0,0
34831,499.99,0,0,499.99,499.99,499.99,499.99,0,0,0,499.99,499.99,499.99,4.99,4.99,4.99,599,599,599,0,0,0,599,599,599,0,0,0
44091,499,0,0,499,499,499,499,0,0,0,499,499,499,4.99,4.99,4.99,589,589,589,0,0,0,589,589,589,0,0,0
79623,199.99,20.09,10,179.9,199.99,199.99,199.99,0.1,0.1,0.1,179.9,179.9,179.9,0,0,0,179.9,179.9,179.9,0,0,0,179.9,179.9,179.9,0,0,0
14176,279.99,20.99,7,259,279.99,279.99,279.99,0.07,0.07,0.07,259,259,259,0,0,0,258.98,258.98,258.98,0,0,0,258.98,258.98,258.98,0,0,0
30070,279.99,20.99,7,259,279.99,279.99,279.99,0.07,0.07,0.07,259,259,259,0,0,0,258.99,258.99,258.99,0,0,0,258.99,258.99,258.99,0,0,0
18983,219.99,24.5,11,195.49,219.99,219.99,219.99,0.11,0.11,0.11,195.49,195.49,195.49,0,0,0,195.49,195.49,195.49,0,0,0,195.49,195.49,195.49,0,0,0
70473,219.99,20.9,10,199.09,219.99,219.99,219.99,0.1,0.1,0.1,199.09,199.09,199.09,0,0,0,195.49,195.49,195.49,0,0,0,195.49,195.49,195.49,0,0,0
36686,199.99,20.09,10,179.9,199.99,199.99,199.99,0.1,0.1,0.1,179.9,179.9,179.9,4.99,4.99,4.99,229.99,229.99,229.99,0.217792078,0.217792078,0.217792078,179.9,179.9,179.9,0,0,0
26908,309.99,20.99,7,289,309.99,309.99,309.99,0.07,0.07,0.07,289,289,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40456,309.99,20.99,7,289,309.99,309.99,309.99,0.07,0.07,0.07,289,289,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13970,309.99,20.99,7,289,309.99,309.99,309.99,0.07,0.07,0.07,289,289,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8344,399,59.01,15,339.99,399,399,399,0.15,0.15,0.15,339.99,339.99,339.99,0,0,0,399,399,399,0,0,0,399,399,399,0,0,0
258023,379,0,0,379,379,379,379,0,0,0,379,379,379,4.99,4.99,4.99,0,0,0,0,0,0,0,0,0,0,0,0
1884,259,40,15,219,259,259,259,0.15,0.15,0.15,219,219,219,0,0,0,219,219,219,0,0,0,219,219,219,0,0,0
5714,259,40,15,219,259,259,259,0.15,0.15,0.15,219,219,219,0,0,0,264,264,264,0,0,0,264,264,264,0,0,0
2727,259,44.59,17,214.41,259,259,259,0.17,0.17,0.17,214.41,214.41,214.41,0,0,0,264,264,264,0,0,0,264,264,264,0,0,0
13447,149,43.16,29,105.84,149,149,149,0.29,0.29,0.29,105.84,105.84,105.84,0,0,0,129.27,129.27,129.27,0,0,0,129.27,129.27,129.27,0,0,0
