Final_sales_Rank,List_Price,Discount,Discount_pct,Final_Price_after_Discount,avg_Regular_price,min_Regular_price,max_Regular_price,avg_Disc_per,min_Disc_per,max_Disc_per,avg_final_price,min_final_price,max_final_price,avg_shipping_price,min_shipping_price,max_shipping_price,avg_amz_mkt_Regular_price,min_amz_mkt_Regular_price,max_amz_mkt_Regular_price,Avg_amz_mkt_disc_perc,min_amz_mkt_disc_perc,max_amz_mkt_disc_perc,avg_amz_mkt_final_price,min_amz_mkt_final_price,max_amz_mkt_final_price,avg_amz_mkt_shipping_price,min_amz_mkt_shipping_price,max_amz_mkt_shipping_price,Reviews_Count,Total_Average_Ratings,Number_of_images,Not_User_Generated_images,User_Generated_images,Avg_helpful_votes,Actual_avg_score,Avg_sentiment_score,Total_sentiment_score,Avg_Positive_sentiment_score,Total_Positive_sentiment_score,Avg_negative_sentiment_score,Total_negative_sentiment_score,Avg_Weighted_score,Total_weighted_score,Total_sub,pdt_desc_length,Saving_Dollar
795,219.99,33,15,186.99,219.99,219.99,219.99,0.15,0.15,0.15,186.99,186.99,186.99,0,0,0,208.52,208.52,208.52,0,0,0,208.52,208.52,208.52,0,0,0,242,4.4,132,20,112,1.904958678,0.773489933,3.231404959,782,3.67768595,890,-0.446280992,-108,2.499459205,604.8691275,19,1957,0
11118,219.99,20,9,199.99,219.99,219.99,219.99,0.09,0.09,0.09,199.99,199.99,199.99,0,0,0,199.98,199.98,199.98,0,0,0,199.98,199.98,199.98,0,0,0,242,4.4,132,20,112,1.904958678,0.773489933,3.231404959,782,3.67768595,890,-0.446280992,-108,2.499459205,604.8691275,19,1930,0
16433,219.99,16.02,7,203.97,219.99,219.99,219.99,0.07,0.07,0.07,203.97,203.97,203.97,0,0,0,199.99,199.99,199.99,0,0,0,199.99,199.99,199.99,0,0,0,242,4.4,132,20,112,1.904958678,0.773489933,3.231404959,782,3.67768595,890,-0.446280992,-108,2.499459205,604.8691275,19,1927,0
4790,219.99,33,15,186.99,219.99,219.99,219.99,0.15,0.15,0.15,186.99,186.99,186.99,0,0,0,199.96,199.96,199.96,0,0,0,199.96,199.96,199.96,0,0,0,242,4.4,132,20,112,1.904958678,0.773489933,3.231404959,782,3.67768595,890,-0.446280992,-108,2.499459205,604.8691275,19,1926,0
4587,219.99,33,15,186.99,219.99,219.99,219.99,0.15,0.15,0.15,186.99,186.99,186.99,0,0,0,186.99,186.99,186.99,0,0,0,186.99,186.99,186.99,0,0,0,242,4.4,132,20,112,1.904958678,0.773489933,3.231404959,782,3.67768595,890,-0.446280992,-108,2.499459205,604.8691275,19,1920,0
5154,119.99,6.95,6,113.04,119.99,119.99,119.99,0.06,0.06,0.06,113.04,113.04,113.04,0,0,0,174.71,174.71,174.71,0,0,0,174.71,174.71,174.71,32.2,32.2,32.2,61,4.2,4,4,0,3.983333333,0.891791045,4.6,276,4.783333333,287,-0.183333333,-11,4.102238806,246.1343284,9,1882,0
22470,529,0,0,529,529,529,529,0,0,0,529,529,529,4.99,4.99,4.99,669,669,669,0,0,0,669,669,669,0,0,0,4,4.8,5,5,0,0.75,1,9.25,37,9.25,37,0,0,9.25,37,31,410,0
6843,199,21.35,11,177.65,199,199,199,0.11,0.11,0.11,177.65,177.65,177.65,0,0,0,192.56,192.56,192.56,0,0,0,192.56,192.56,192.56,0,0,0,89,4.6,48,18,30,3.033707865,0.778097983,4.674157303,416,5.033707865,448,-0.359550562,-32,3.636952369,323.6887608,10,825,0
14645,199,0,0,199,199,199,199,0,0,0,199,199,199,4.99,4.99,4.99,212.7,212.7,212.7,0,0,0,212.7,212.7,212.7,0,0,0,89,4.6,48,18,30,3.033707865,0.778097983,4.674157303,416,5.033707865,448,-0.359550562,-32,3.636952369,323.6887608,10,981,0
1260,199,24.76,12,174.24,199,199,199,0.12,0.12,0.12,174.24,174.24,174.24,0,0,0,198.96,198.96,198.96,0,0,0,198.96,198.96,198.96,0,0,0,89,4.6,48,18,30,3.033707865,0.778097983,4.674157303,416,5.033707865,448,-0.359550562,-32,3.636952369,323.6887608,10,824,0
10686,175,22.03,13,152.97,175,175,175,0.13,0.13,0.13,152.97,152.97,152.97,0,0,0,145,145,145,0,0,0,145,145,145,4.99,4.99,4.99,46,4.6,21,5,16,1.869565217,0.87755102,4.630434783,213,4.760869565,219,-0.130434783,-6,4.063442768,186.9183673,9,788,0
18578,175,1.91,1,173.09,175,175,175,0.01,0.01,0.01,173.09,173.09,173.09,0,0,0,165.83,165.83,165.83,0,0,0,165.83,165.83,165.83,0,0,0,46,4.6,21,5,16,1.869565217,0.87755102,4.630434783,213,4.760869565,219,-0.130434783,-6,4.063442768,186.9183673,9,784,0
6678,219.99,0,0,219.99,219.99,219.99,219.99,0,0,0,219.99,219.99,219.99,4.99,4.99,4.99,219.99,219.99,219.99,0,0,0,219.99,219.99,219.99,0,0,0,43,4.1,6,6,0,1.418604651,0.910447761,3.23255814,139,3.348837209,144,-0.11627907,-5,2.943075321,126.5522388,0,945,0
4351,219.99,60,27,159.99,219.99,219.99,219.99,0.27,0.27,0.27,159.99,159.99,159.99,0,0,0,213.99,213.99,213.99,0,0,0,213.99,213.99,213.99,0,0,0,43,4.1,6,6,0,1.418604651,0.910447761,3.23255814,139,3.348837209,144,-0.11627907,-5,2.943075321,126.5522388,0,946,0
